first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
can not share audio via bluetooth,good for on-line presentation,0,0.07849673181772232,0.07849672436714172,1.3575739,binary,is_reason
Google sign-in does not work!,hard to use video,0,0.27672088146209717,0.27672088146209717,1.2027297,binary,is_reason
the best platform to communicate in a pandemic,good for communication,1,0.3597758710384369,0.3597758710384369,1.131569,binary,is_reason
it will not open on my telephone!,app is bad for work,0,0.18918360769748688,0.18918362259864807,1.2734334,binary,is_reason
this app is very expensive to learn study online classes,app is expensive for online classes,1,0.7885084748268127,0.7885084748268127,0.6503716,binary,is_reason
I am not able to sign up for hulu,unable to sign up for hulu,1,0.9446198344230652,0.9446198344230652,0.33280692,binary,is_reason
now it does not work on oneplus,unable to use subtitle on chromecast,0,0.33050692081451416,0.33050695061683655,1.1571457,binary,is_reason
because i can not skip class,unable to connect to airplay,0,0.1874256432056427,0.1874256432056427,1.2748133,binary,is_reason
you can not change your mic setting while drawing on someone else's,want to change mic setting while drawing,1,0.5387452244758606,0.5387452840805054,0.9604736,binary,is_reason
too dangerous for my children.,bad app for children,1,0.4220248758792877,0.4220249056816101,1.0751513,binary,is_reason
i can not meet my friend,app is slow and clang patronizely,0,-0.0067108431831002235,-0.006710841320455074,1.4189509,binary,is_reason
"erstwhiles the app will clang, but i just restart my telephone.",want to change setting,0,0.04344041272997856,0.043440401554107666,1.3831556,binary,is_reason
some features are missing,features are missing,1,0.8341204524040222,0.8341203331947327,0.5759856,binary,is_reason
i forget my password and try to set new password via electronic_mail,have to reinstall the app to make the app work,0,0.19679388403892517,0.19679385423660278,1.2674433,binary,is_reason
"the whole point of download is to watch offline, but the app wants you to be connect.",upapproach meeting are not in sync,0,0.1790638267993927,0.1790638267993927,1.2813557,binary,is_reason
love this app i can always get on rapid_climb with my friend or family,background voice issue,0,0.02553854137659073,0.02553854137659073,1.3960383,binary,is_reason
will not connect to my outlook contact addresses which is a pain.,want to connect to outlook email,1,0.6122331619262695,0.6122331619262695,0.880644,binary,is_reason
it is rather annoyance because when you want to attend a meeting it just comes up that the app need updating.,want to hear audio without headteletelephone,0,0.06476520001888275,0.06476521492004395,1.3676511,binary,is_reason
not very much good always asks to switch account and sign in,want to switch account and sign in,1,0.6880857348442078,0.6880857348442078,0.7898282,binary,is_reason
"best entertainment app for video, movie, cartoon","good for watching movies, series and cartoons",1,0.5987754464149475,0.5987753868103027,0.89579535,binary,is_reason
I am using 150mbps but the cyclosis quality is very bad on android tv.,unable to subscribe on app,0,0.25108423829078674,0.25108423829078674,1.2238593,binary,is_reason
everyone says there is no support for Turkish language translate from setting to Turkish so simple or how did you not understand?,want to share file in chat,0,0.04059593752026558,0.04059593752026558,1.3852105,binary,is_reason
"unfortunately, no sound on tv when i plug my ipad or iphone into an hdmi adapter.",want to hear audio on tv after plugging in ios devices into hdmi adapter,1,0.7539510130882263,0.7539508938789368,0.70149714,binary,is_reason
sound problem - why is it so hard?,pen is not working,0,0.24154505133628845,0.24154502153396606,1.2316291,binary,is_reason
"also, it would be nice if there was a way to remove items from the ""continue observation"" list.",receive incorrect telephone number message,0,-0.002985357539728284,-0.002985360799357295,1.4163231,binary,is_reason
"poor performance, and always updating even in on-line class meeting,",app has virtual background,0,0.05612889677286148,0.05612889304757118,1.3739513,binary,is_reason
i have not even try the application but the regestration just freeze out why do so many items,want to connect to the conference,0,-0.08195824921131134,-0.08195827901363373,1.4710257,binary,is_reason
best app for on-line teaching,better the quality of communication,0,0.20504915714263916,0.20504915714263916,1.2609131,binary,is_reason
no option for chew_the_fat,unable to download rapid_climb app,0,0.2389194369316101,0.23891940712928772,1.233759,binary,is_reason
but i would like it to lower_berth its memory at least up to 50% of memory since it is time to uninstall apps that may be necessitate,want to specialize in computer science,0,0.0943109318614006,0.0943109318614006,1.3458745,binary,is_reason
but the picture quality is not great.,poor picture quality,1,0.7153444886207581,0.7153444886207581,0.7545269,binary,is_reason
good one for on-line business.,24mb rapid_climb emojis are download all the time,0,-0.07988634705543518,-0.07988634705543518,1.4696165,binary,is_reason
you should like the option that you can put wallpaper on cell telephone,want to get card,0,0.11000014841556549,0.11000014841556549,1.3341664,binary,is_reason
i can not change my language to russian or ukrainian!,want to change russian language,1,0.6432337760925293,0.6432338356971741,0.8447086,binary,is_reason
can not change settings like background picture until I am already in a meeting,want to change settings like background picture,1,0.5936664342880249,0.5936664342880249,0.9014807,binary,is_reason
"since i update it, it will not let me enter the app",unable to login since the update,1,0.5263070464134216,0.5263069272041321,0.9733377,binary,is_reason
"the bell is not necessity, it is okay to leave a banner on the screen but not a bell every time person articulation.",want to open camera,0,0.08158034831285477,0.08158034831285477,1.3553005,binary,is_reason
"i use to use rapid_climb on both my tablet and Mobile with same history in same time, so it very easy to switch between device and its very useful.",easy to use without have to memorize kuji,0,0.2456894963979721,0.2456895112991333,1.2282593,binary,is_reason
some episode are miss.,want to change name and profile picture,0,-0.00580471521243453,-0.00580471521243453,1.4183122,binary,is_reason
this app is only worst my time class automatic disconnect,app is bad for time management,1,0.49397438764572144,0.49397438764572144,1.0060077,binary,is_reason
will not let me even install it,want to lower_berth age limit,0,0.152035191655159,0.152035191655159,1.3022786,binary,is_reason
can not even read / write message coincidently.,want to disable auto revolve feature,0,0.03491942584514618,0.03491942957043648,1.3893024,binary,is_reason
"""you are not eligible to sign up for zoom at this time""",receiving not eligible for zoom message,1,0.5306981801986694,0.5306981801986694,0.9688156,binary,is_reason
i love observation movie from my childhood with my little girl.,want to use virtual background for samsung galaxy tablet s6,0,0.060743845999240875,0.060743823647499084,1.3705884,binary,is_reason
it is not possible to log in either from the pc or from the tv.,want to see more than 4 screen,0,0.06715990602970123,0.06715990602970123,1.3658991,binary,is_reason
very good user interface and experience.,want to record on telephone,0,0.07031793892383575,0.07031792402267456,1.3635851,binary,is_reason
"after the last update, the interface wholly change and expose in Russian, in the setting there is no such option as ""language chooseion""",good for virtual gathering,0,-0.112393319606781,-0.112393319606781,1.4915719,binary,is_reason
it will not stop buffering and it is not because my connection is bad,app has connection and buffering issues,1,0.5573355555534363,0.5573355555534363,0.9409192,binary,is_reason
i enjoy the assortment that hulu has to offer.,want to change name,0,0.021774135529994965,0.02177414856851101,1.3987322,binary,is_reason
"since a recent update, i can no longer see people in breakout rooms.",want to see people in breakout rooms,1,0.5597867965698242,0.5597867965698242,0.93831056,binary,is_reason
this app is very helpful to collaborate with friend welcome,want to hear the anthem,0,0.003763222135603428,0.003763222135603428,1.41155,binary,is_reason
the subtitle are truly too small to read.,facing screen compatibility issue on moto g20,0,0.10617918521165848,0.10617918521165848,1.3370273,binary,is_reason
it has no recording option,want recording option,1,0.6566438674926758,0.6566439867019653,0.8286812,binary,is_reason
the most unliked app for teacher,want Ukrainian language support,0,0.07343049347400665,0.07343050837516785,1.3613005,binary,is_reason
this app does not have service support,app does not have service,1,0.7187127470970154,0.7187128067016602,0.75004965,binary,is_reason
not able to join any meeting smoothly after every minute my zoom disconnects and shows error,unable to join zoom rooms,1,0.4810751676559448,0.4810751676559448,1.0187491,binary,is_reason
i can not install the app in my phone,unable to download the app,1,0.6958361864089966,0.6958361864089966,0.7799536,binary,is_reason
"this application is reasonably good, but it does not support the Arabic language; so i gave it 2 out of 5",want to register for 3 devices,0,0.07271282374858856,0.07271282374858856,1.3618276,binary,is_reason
"the question is why i can not save a list of meetings i can connect to on the main screen, with the ability to name this meeting.",want to save meeting lists,1,0.3568323850631714,0.35683244466781616,1.1341672,binary,is_reason
"images uploaded for polls do not pop up in certain devices, and can not find help anywhere",want to find polls in certain devices,1,0.3875441551208496,0.387544184923172,1.1067573,binary,is_reason
unable to download or update,unable to download and update,1,0.8517513275146484,0.8517513275146484,0.5445157,binary,is_reason
there is a problem on bluetooth audio and device audio.,facing issues with bluetooth audio devices,1,0.7520307302474976,0.7520307898521423,0.70422906,binary,is_reason
can not get it to pair with hearing aids.,want to pair hearing aids,1,0.6825509071350098,0.6825509071350098,0.7968051,binary,is_reason
whether on my tv or telephone the app patronizely Michigan playing in the center of a show.,poor service from hotstar,0,0.04525924101471901,0.04525924101471901,1.38184,binary,is_reason
very good application and very practical for monitoring remote meetings,good for monitoring remote meetings,1,0.7029837965965271,0.7029839158058167,0.7707349,binary,is_reason
"you should add the option to remove from the ""continue watching"" list.",want to remove videos from continue watching list,1,0.6686813831329346,0.6686813831329346,0.8140254,binary,is_reason
i can not change my language to Russian or Ukrainian!,app keeps auto shutting,0,-0.03368677198886871,-0.03368677198886871,1.4378365,binary,is_reason
best app for children,good for children,1,0.5643777847290039,0.5643777251243591,0.93340486,binary,is_reason
"and no where to ascent the plan, please delegateed a button for ascent to others plan also.",desktop version is bad,0,-0.044467803090810776,-0.044467803090810776,1.4453151,binary,is_reason
"it does not work with a bluetooth box, i believe that not with a headset and on the tv/monitor, the sound does not come out on the tv in mirror mode/",want to change setting like background picture,0,-0.024246949702501297,-0.024246949702501297,1.4312562,binary,is_reason
zoom does not cater for android users.,zoom does not cater for android users,1,1.000000238418579,1.0,0.0,binary,is_reason
the current version of hulu is not compatible with ios version 15.4.,unable to use hulu on ios after latest update,1,0.6240702867507935,0.6240702867507935,0.86709833,binary,is_reason
"mega nice app, unfortunately there is a malfunction from time to time because the network is wholly overload.",Mobile app is better than desktop app,0,0.2425440549850464,0.24254409968852997,1.2308177,binary,is_reason
