first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0,0.9364383816719055,0.936438262462616,0.356544,binary,is_duplicate
What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0,0.6843891739845276,0.6843892931938171,0.7944945,binary,is_duplicate
How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0,0.6093810796737671,0.6093810796737671,0.8838768,binary,is_duplicate
Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0,0.12498722970485687,0.12498722970485687,1.3228853,binary,is_duplicate
"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,0,0.3357146680355072,0.3357146680355072,1.1526364,binary,is_duplicate
Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",1,0.8286172747612,0.8286171555519104,0.5854619,binary,is_duplicate
Should I buy tiago?,What keeps childern active and far from phone and video games?,0,0.01659075729548931,0.01659075729548931,1.4024332,binary,is_duplicate
How can I be a good geologist?,What should I do to be a great geologist?,1,0.9090703129768372,0.9090703129768372,0.4264501,binary,is_duplicate
When do you use シ instead of し?,"""When do you use """"&"""" instead of """"and""""?""",0,0.7433211803436279,0.7433211803436279,0.71649015,binary,is_duplicate
Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,0,0.679443895816803,0.679443895816803,0.8006948,binary,is_duplicate
Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0,-0.005969267804175615,-0.005969260819256306,1.4184282,binary,is_duplicate
How do I read and find my YouTube comments?,How can I see all my Youtube comments?,1,0.9102762341499329,0.9102762341499329,0.4236126,binary,is_duplicate
What can make Physics easy to learn?,How can you make physics easy to learn?,1,0.9034510254859924,0.903451144695282,0.43942904,binary,is_duplicate
