first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0,14.921178817749023,0.9669328927993774,1.0118004,binary,is_duplicate
What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0,6.803942680358887,0.6519562005996704,2.8052607,binary,is_duplicate
How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0,12.202306747436523,0.8095790147781372,2.395998,binary,is_duplicate
Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0,3.9320924282073975,0.19602812826633453,5.691481,binary,is_duplicate
"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,0,13.435894966125488,0.6768877506256104,3.6551738,binary,is_duplicate
Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",1,8.475037574768066,0.74188232421875,2.431562,binary,is_duplicate
Should I buy tiago?,What keeps childern active and far from phone and video games?,0,2.6134650707244873,0.1521766483783722,5.4331317,binary,is_duplicate
How can I be a good geologist?,What should I do to be a great geologist?,1,15.099489212036133,0.8357754945755005,2.4600143,binary,is_duplicate
When do you use シ instead of し?,"""When do you use """"&"""" instead of """"and""""?""",0,21.322174072265625,1.0,0.0,binary,is_duplicate
Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,0,10.443511962890625,0.7146563529968262,2.8950772,binary,is_duplicate
Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0,3.570443868637085,0.28238338232040405,4.2787147,binary,is_duplicate
How do I read and find my YouTube comments?,How can I see all my Youtube comments?,1,22.967723846435547,0.9224650859832764,2.0994987,binary,is_duplicate
What can make Physics easy to learn?,How can you make physics easy to learn?,1,18.26837921142578,1.0000001192092896,0.0,binary,is_duplicate
What was your first sexual experience like?,What was your first sexual experience?,1,23.551532745361328,0.9312735795974731,2.0811138,binary,is_duplicate
"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,0,13.417709350585938,0.9807183742523193,0.7263951,binary,is_duplicate
What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,1,7.990133285522461,0.7517515420913696,2.2978487,binary,is_duplicate
What does manipulation mean?,What does manipulation means?,1,16.60178565979004,0.8951627612113953,1.9736317,binary,is_duplicate
Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,0,12.86547565460205,0.8515217304229736,2.1187654,binary,is_duplicate
Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,1,10.317913055419922,0.861014187335968,1.8323698,binary,is_duplicate
Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,0,10.718423843383789,0.8484233617782593,2.0330794,binary,is_duplicate
Why do rockets look white?,Why are rockets and boosters painted white?,1,14.254593849182129,0.8171523809432983,2.559898,binary,is_duplicate
What's causing someone to be jealous?,What can I do to avoid being jealous of someone?,0,14.350384712219238,0.7668023705482483,2.9543943,binary,is_duplicate
What are the questions should not ask on Quora?,Which question should I ask on Quora?,0,13.525594711303711,0.9548150897026062,1.1531588,binary,is_duplicate
How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?,0,9.476062774658203,0.4928348958492279,4.418307,binary,is_duplicate
What does it mean that every time I look at the clock the numbers are the same?,How many times a day do a clock’s hands overlap?,0,9.238816261291504,0.6757758855819702,2.9954877,binary,is_duplicate
What are some tips on making it through the job interview process at Medicines?,What are some tips on making it through the job interview process at Foundation Medicine?,0,11.946298599243164,0.9252109527587891,1.3908631,binary,is_duplicate
What is web application?,What is the web application framework?,0,24.850587844848633,0.9212137460708618,2.12612,binary,is_duplicate
Does society place too much importance on sports?,How do sports contribute to the society?,0,15.018074035644531,0.8285121321678162,2.5133147,binary,is_duplicate
What is best way to make money online?,What is best way to ask for money online?,0,17.544679641723633,0.972518801689148,1.013491,binary,is_duplicate
How should I prepare for CA final law?,How one should know that he/she completely prepare for CA final exam?,1,11.327465057373047,0.8127200603485107,2.35077,binary,is_duplicate
What's one thing you would like to do better?,What's one thing you do despite knowing better?,0,15.981439590454102,0.8785887360572815,2.2176597,binary,is_duplicate
What are some special cares for someone with a nose that gets stuffy during the night?,How can I keep my nose from getting stuffy at night?,1,11.459453582763672,0.87991863489151,1.8399576,binary,is_duplicate
What Game of Thrones villain would be the most likely to give you mercy?,What Game of Thrones villain would you most like to be at the mercy of?,1,10.323513984680176,0.944279670715332,1.1152389,binary,is_duplicate
"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",How is the average speed of gas molecules determined?,0,6.15360164642334,0.3539544939994812,4.7431755,binary,is_duplicate
What is the best travel website in spain?,What is the best travel website?,0,16.33372688293457,0.9067824482917786,1.8447801,binary,is_duplicate
Why do some people think Obama will try to take their guns away?,Has there been a gun control initiative to take away guns people already own?,0,14.023311614990234,0.8186052441596985,2.494249,binary,is_duplicate
I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,I am a 19 year old guy. How can I become a billionaire in the next 10 years?,0,7.326094627380371,0.5670708417892456,3.3911798,binary,is_duplicate
"""When a girlfriend asks her boyfriend """"Why did you choose me? What makes you want to be with me?"""", what should one reply to her?""",My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?,0,7.617862701416016,0.7749223709106445,2.2279065,binary,is_duplicate
How do we prepare for UPSC?,How do I prepare for civil service?,1,8.851116180419922,0.43767404556274414,4.77505,binary,is_duplicate
What is the stall speed and AOA of an f-14 with wings fully swept back?,"Why did aircraft stop using variable-sweep wings, like those on an F-14?",0,8.093099594116211,0.7018101811408997,2.7461972,binary,is_duplicate
Why do Slavs squat?,Will squats make my legs thicker?,0,5.403450012207031,0.29954659938812256,5.1308584,binary,is_duplicate
When can I expect my Cognizant confirmation mail?,When can I expect Cognizant confirmation mail?,0,12.72136116027832,0.9999999403953552,0.0,binary,is_duplicate
"Can I make 50,000 a month by day trading?","Can I make 30,000 a month by day trading?",0,16.80853843688965,0.9918689131736755,0.5286453,binary,is_duplicate
Is being a good kid and not being a rebel worth it in the long run?,Is being bored good for a kid?,0,10.599284172058105,0.6615482568740845,3.346131,binary,is_duplicate
What universities does Rexnord recruit new grads from? What majors are they looking for?,What universities does B&G Foods recruit new grads from? What majors are they looking for?,0,8.726181983947754,0.9032206535339355,1.5379978,binary,is_duplicate
What is the quickest way to increase Instagram followers?,How can we increase our number of Instagram followers?,0,9.850709915161133,0.7950447797775269,2.3113186,binary,is_duplicate
How did Darth Vader fought Darth Maul in Star Wars Legends?,Does Quora have a character limit for profile descriptions?,0,1.583008885383606,0.13958869874477386,4.541754,binary,is_duplicate
