first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
Simpson Strong-Tie 12-Gauge Angle,angle bracket,3.0,0.7912176847457886,0.7912178039550781,0.6461924,scale_1_3,score
Simpson Strong-Tie 12-Gauge Angle,l bracket,2.5,0.7522075176239014,0.7522076964378357,0.70397794,scale_1_3,score
BEHR Premium Textured DeckOver 1-gal. #SC-141 Tugboat Wood and Concrete Coating,deck over,3.0,0.8054339289665222,0.8054339289665222,0.6238046,scale_1_3,score
Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included),rain shower head,2.33,0.7684630751609802,0.7684630751609802,0.6804955,scale_1_3,score
Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included),shower only faucet,2.67,0.8456971645355225,0.845697283744812,0.55552274,scale_1_3,score
Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,convection otr,3.0,0.7873104214668274,0.7873104214668274,0.652211,scale_1_3,score
Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,microwave over stove,2.67,0.8154153227806091,0.8154153823852539,0.6075933,scale_1_3,score
Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,microwaves,3.0,0.8027558922767639,0.8027558922767639,0.62808317,scale_1_3,score
Lithonia Lighting Quantum 2-Light Black LED Emergency Fixture Unit,emergency light,2.67,0.8682728409767151,0.8682728409767151,0.513278,scale_1_3,score
House of Fara 3/4 in. x 3 in. x 8 ft. MDF Fluted Casing,mdf 3/4,3.0,0.8504040241241455,0.8504039645195007,0.5469847,scale_1_3,score
Valley View Industries Metal Stakes (4-Pack),steele stake,2.67,0.8692910671234131,0.8692912459373474,0.5112905,scale_1_3,score
Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,briggs and stratton lawn mower,3.0,0.8741381764411926,0.8741381764411926,0.50172085,scale_1_3,score
Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,gas mowe,3.0,0.8505968451499939,0.8505968451499939,0.5466319,scale_1_3,score
Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,honda mower,2.0,0.8268324136734009,0.8268322944641113,0.58850265,scale_1_3,score
Hampton Bay Caramel Simple Weave Bamboo Rollup Shade - 96 in. W x 72 in. L,hampton bay chestnut pull up shade,2.67,0.8395549654960632,0.839555025100708,0.5664716,scale_1_3,score
InSinkErator SinkTop Switch Single Outlet for InSinkErator Disposers,disposer,2.67,0.8285912871360779,0.8285914063453674,0.58550626,scale_1_3,score
Sunjoy Calais 8 ft. x 5 ft. x 8 ft. Steel Tile Fabric Grill Gazebo,grill gazebo,3.0,0.8961201906204224,0.8961201906204224,0.45580664,scale_1_3,score
"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",door guards,1.0,0.7573136687278748,0.7573137283325195,0.69668704,scale_1_3,score
"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",metal plate cover gcfi,1.67,0.769677996635437,0.7696780562400818,0.6787076,scale_1_3,score
"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",radiator grate,2.33,0.7075793147087097,0.707579493522644,0.76474917,scale_1_3,score
"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",windows screens,2.33,0.7476598024368286,0.7476599216461182,0.71040857,scale_1_3,score
House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,1x1 rail decorative wood,1.33,0.7870087027549744,0.7870087027549744,0.65267336,scale_1_3,score
House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,4*8 beadboard paneling,2.67,0.851043164730072,0.851043164730072,0.54581475,scale_1_3,score
House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,4x8wood paneling,2.33,0.8512747883796692,0.8512747883796692,0.54539007,scale_1_3,score
House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,MDF 4x8,1.33,0.8436691164970398,0.8436691761016846,0.5591614,scale_1_3,score
House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,wainscot chair rail,2.33,0.7578086256980896,0.7578086256980896,0.6959761,scale_1_3,score
House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,wainscot plank paneling,2.33,0.8452984094619751,0.8452984094619751,0.5562402,scale_1_3,score
1804 Dual Spray Half Pattern 4 in Pop-Up Spray Head,lawn sprkinler,2.0,0.7190282940864563,0.7190282940864563,0.749629,scale_1_3,score
1804 Dual Spray Half Pattern 4 in Pop-Up Spray Head,rainbird sprinkler,2.33,0.736623227596283,0.736623227596283,0.7257779,scale_1_3,score
"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR",PLATFORM FOR WASHERS,2.67,0.8375042080879211,0.8375042080879211,0.57008034,scale_1_3,score
"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR",samsung front load washer 3.7,2.0,0.9094212651252747,0.9094212651252747,0.4256259,scale_1_3,score
"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR",upholstery washing machines with steam,2.33,0.8092070817947388,0.8092070817947388,0.61772645,scale_1_3,score
Quikrete 80 lb. Crack-Resistant Concrete,CONCRETE & MASONRY CLEANER & ETCHER,3.0,0.7542885541915894,0.7542886137962341,0.7010158,scale_1_3,score
Quikrete 80 lb. Crack-Resistant Concrete,concrete for ponds,2.0,0.813815176486969,0.813815176486969,0.6102212,scale_1_3,score
Quikrete 80 lb. Crack-Resistant Concrete,flexlock for cracks,2.0,0.8197121024131775,0.8197121024131775,0.6004796,scale_1_3,score
Nantucket Pavers Patio-on-a-Pallet 10 ft. x 10 ft. Concrete Tan Variegated Basketweave Yorkstone Paver,Belgium block pavers,2.0,0.8206257820129395,0.8206256031990051,0.5989565,scale_1_3,score
Nantucket Pavers Patio-on-a-Pallet 10 ft. x 10 ft. Concrete Tan Variegated Basketweave Yorkstone Paver,ourdoor patio tile,2.33,0.8520030379295349,0.8520030379295349,0.5440533,scale_1_3,score
UltraTouch 48 in. x 24 ft. Radiant Barrier,insulation roll,2.33,0.7524656653404236,0.7524658441543579,0.7036109,scale_1_3,score
Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing,6ft h bamboo fencing,2.0,0.8851491808891296,0.8851493000984192,0.47927228,scale_1_3,score
Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing,balcony privacy screen,2.67,0.7633625864982605,0.76336270570755,0.6879497,scale_1_3,score
Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing,bamboo,1.67,0.734100341796875,0.7341004014015198,0.7292458,scale_1_3,score
Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing,privacy lattice panels,2.33,0.7672120332717896,0.7672120332717896,0.68233144,scale_1_3,score
Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing,privacy panels,1.67,0.7571696639060974,0.7571696043014526,0.69689363,scale_1_3,score
DecoArt Americana Decor 16-oz. Whisper Chalky Finish,chalk paint,3.0,0.841628909111023,0.8416289687156677,0.5627986,scale_1_3,score
9.1 in. x 5.8 in. White Designer Shelf Bracket,8 4616809045 9,1.67,0.7066797614097595,0.7066797614097595,0.76592463,scale_1_3,score
9.1 in. x 5.8 in. White Designer Shelf Bracket,shelf bracket,3.0,0.879888653755188,0.879888653755188,0.4901254,scale_1_3,score
9.1 in. x 5.8 in. White Designer Shelf Bracket,white 4shelves,1.67,0.8447316288948059,0.8447316288948059,0.55725837,scale_1_3,score
HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit,6 teir shelving,3.0,0.8164438009262085,0.8164438009262085,0.605898,scale_1_3,score
HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit,hdx wire shelving,3.0,0.9007219076156616,0.9007219076156616,0.44559667,scale_1_3,score
HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit,kitchen  cabinet finishes,1.0,0.7495402097702026,0.7495402097702026,0.7077567,scale_1_3,score
HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit,kitchen wire shelf tiered,3.0,0.8302291631698608,0.8302291631698608,0.58270204,scale_1_3,score
HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit,pantry rack,2.67,0.8035938739776611,0.8035938739776611,0.62674755,scale_1_3,score
HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit,plastic storage racks,2.67,0.7769582867622375,0.7769583463668823,0.6678946,scale_1_3,score
HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit,Shelves Metal,3.0,0.832598865032196,0.832598865032196,0.5786209,scale_1_3,score
HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit,steel shelving,2.67,0.8424926996231079,0.8424926996231079,0.56126165,scale_1_3,score
HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit,storage shelve,3.0,0.8571411967277527,0.8571412563323975,0.5345254,scale_1_3,score
Marshalltown Masonry Brush,mortar tools,1.0,0.7994264960289001,0.7994264960289001,0.63336176,scale_1_3,score
Rubbermaid 12 in. D Single Track Bracket,12 boltless bracket,2.33,0.8573423027992249,0.8573422431945801,0.5341494,scale_1_3,score
Rubbermaid 12 in. D Single Track Bracket,12 in.  16 in single track brackets,2.33,0.8899643421173096,0.8899643421173096,0.4691175,scale_1_3,score
Rubbermaid 12 in. D Single Track Bracket,12 wire shelf bracket,3.0,0.8512280583381653,0.8512280583381653,0.5454759,scale_1_3,score
Rubbermaid 12 in. D Single Track Bracket,shelf track,2.33,0.7938647866249084,0.7938648462295532,0.64208275,scale_1_3,score
Husky 9-Pocket Maintenance Pouch,husky tool bag,2.5,0.9032363891601562,0.9032365083694458,0.43991715,scale_1_3,score
RIDGID X4 18-Volt 1/2 in. Impact Wrench (Tool Only),impact driver drill battery powered,2.33,0.8115803003311157,0.811580240726471,0.6138724,scale_1_3,score
RIDGID X4 18-Volt 1/2 in. Impact Wrench (Tool Only),impact wrench,3.0,0.8413329720497131,0.8413329124450684,0.5633243,scale_1_3,score
"Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat",pellet stove,2.33,0.8161424398422241,0.8161423206329346,0.6063956,scale_1_3,score
"Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat",register for fuel,2.33,0.7637145519256592,0.7637144923210144,0.687438,scale_1_3,score
"Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat",stove and mi,2.33,0.8056322336196899,0.8056321740150452,0.6234866,scale_1_3,score
"Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat",ventless gas stove,3.0,0.8570191264152527,0.8570190072059631,0.5347543,scale_1_3,score
American Standard Cadet 3 FloWise 2-piece 1.28 GPF Round Front Toilet in Bone,American Standard Bone round toliet,3.0,0.9304972290992737,0.9304972290992737,0.3728346,scale_1_3,score
American Standard Cadet 3 FloWise 2-piece 1.28 GPF Round Front Toilet in Bone,cadet 3 insulated in bone,2.33,0.7750141620635986,0.7750142812728882,0.67079943,scale_1_3,score
Sumner Street Home Hardware Grayson 2-1/2 in. Oil Rubbed Bronze Cup Pull,grayson,2.33,0.7633419036865234,0.763342022895813,0.6879797,scale_1_3,score
