first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0,173.896240234375,0.9412097334861755,4.6983786,binary,is_duplicate
What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0,86.13726806640625,0.678446352481842,9.041419,binary,is_duplicate
How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0,131.10397338867188,0.5985473394393921,13.303992,binary,is_duplicate
Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0,7.771576881408691,0.047009989619255066,17.765718,binary,is_duplicate
"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,0,69.39198303222656,0.3534570336341858,15.9709835,binary,is_duplicate
Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",1,116.4423828125,0.7411468029022217,9.04243,binary,is_duplicate
Should I buy tiago?,What keeps childern active and far from phone and video games?,0,22.037126541137695,0.12206916511058807,17.809088,binary,is_duplicate
How can I be a good geologist?,What should I do to be a great geologist?,1,189.04803466796875,0.8937562108039856,6.712106,binary,is_duplicate
When do you use シ instead of し?,"""When do you use """"&"""" instead of """"and""""?""",0,67.44290924072266,0.2931784689426422,18.065113,binary,is_duplicate
Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,0,127.4931869506836,0.7427129149436951,9.478586,binary,is_duplicate
Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0,12.486425399780273,0.07766450196504593,17.235544,binary,is_duplicate
How do I read and find my YouTube comments?,How can I see all my Youtube comments?,1,219.6286163330078,0.8511563539505005,8.767832,binary,is_duplicate
What can make Physics easy to learn?,How can you make physics easy to learn?,1,244.52113342285156,0.9705691337585449,3.8508918,binary,is_duplicate
What was your first sexual experience like?,What was your first sexual experience?,1,326.8026123046875,0.9862467050552368,3.02525,binary,is_duplicate
"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,0,153.6267852783203,0.8252863883972168,8.068537,binary,is_duplicate
What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,1,120.81322479248047,0.6481785774230957,11.464925,binary,is_duplicate
What does manipulation mean?,What does manipulation means?,1,280.291015625,0.989541232585907,2.446017,binary,is_duplicate
Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,0,103.0995864868164,0.5303740501403809,13.515221,binary,is_duplicate
Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,1,165.25767517089844,0.8112503290176392,8.769433,binary,is_duplicate
Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,0,179.21434020996094,0.7707547545433044,10.413815,binary,is_duplicate
Why do rockets look white?,Why are rockets and boosters painted white?,1,160.6262664794922,0.8710198998451233,6.9159584,binary,is_duplicate
