first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0,0.8685673475265503,0.8685675263404846,0.5127036,binary,is_duplicate
What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0,0.5427606701850891,0.5427607297897339,0.9562837,binary,is_duplicate
How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0,0.48104381561279297,0.48104381561279297,1.0187799,binary,is_duplicate
Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0,0.06206674501299858,0.06206674501299858,1.3696228,binary,is_duplicate
"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,0,0.3202894628047943,0.3202894926071167,1.1659422,binary,is_duplicate
Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",1,0.864687979221344,0.864687979221344,0.5202153,binary,is_duplicate
Should I buy tiago?,What keeps childern active and far from phone and video games?,0,0.02582697756588459,0.025826971977949142,1.3958316,binary,is_duplicate
How can I be a good geologist?,What should I do to be a great geologist?,1,0.9656102061271667,0.9656103849411011,0.26225847,binary,is_duplicate
When do you use シ instead of し?,"""When do you use """"&"""" instead of """"and""""?""",0,0.2985633611679077,0.2985633611679077,1.1844295,binary,is_duplicate
Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,0,0.6524874567985535,0.6524875164031982,0.8336817,binary,is_duplicate
Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0,-0.03275623917579651,-0.03275623917579651,1.4371891,binary,is_duplicate
How do I read and find my YouTube comments?,How can I see all my Youtube comments?,1,0.8680421113967896,0.8680421710014343,0.51372725,binary,is_duplicate
What can make Physics easy to learn?,How can you make physics easy to learn?,1,0.9123234748840332,0.9123234748840332,0.4187519,binary,is_duplicate
What was your first sexual experience like?,What was your first sexual experience?,1,0.97063809633255,0.9706382155418396,0.24232996,binary,is_duplicate
"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,0,0.8211561441421509,0.8211561441421509,0.59807014,binary,is_duplicate
What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,1,0.7960442900657654,0.7960442900657654,0.6386796,binary,is_duplicate
What does manipulation mean?,What does manipulation means?,1,0.9926417469978333,0.992641806602478,0.12131188,binary,is_duplicate
Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,0,0.5732174515724182,0.573217511177063,0.92388594,binary,is_duplicate
Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,1,0.9033654928207397,0.9033655524253845,0.43962362,binary,is_duplicate
Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,0,0.5932164788246155,0.5932165384292603,0.9019795,binary,is_duplicate
Why do rockets look white?,Why are rockets and boosters painted white?,1,0.8443427681922913,0.844342827796936,0.5579556,binary,is_duplicate
What's causing someone to be jealous?,What can I do to avoid being jealous of someone?,0,0.6792133450508118,0.6792134046554565,0.8009826,binary,is_duplicate
What are the questions should not ask on Quora?,Which question should I ask on Quora?,0,0.5737687945365906,0.5737687945365906,0.92328906,binary,is_duplicate
How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?,0,0.48045819997787476,0.48045819997787476,1.0193545,binary,is_duplicate
What does it mean that every time I look at the clock the numbers are the same?,How many times a day do a clock’s hands overlap?,0,0.4738912284374237,0.4738912284374237,1.0257765,binary,is_duplicate
