first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0,0.9848788976669312,0.9848788976669312,0.17390287,binary,is_duplicate
What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0,0.8111595511436462,0.8111595511436462,0.61455745,binary,is_duplicate
How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0,0.8795493841171265,0.879549503326416,0.49081683,binary,is_duplicate
Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0,0.6886535882949829,0.6886537671089172,0.7891088,binary,is_duplicate
"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,0,0.7698979377746582,0.7698981165885925,0.67838335,binary,is_duplicate
Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",1,0.9600706100463867,0.960070788860321,0.28259295,binary,is_duplicate
Should I buy tiago?,What keeps childern active and far from phone and video games?,0,0.6081891655921936,0.6081892251968384,0.8852241,binary,is_duplicate
How can I be a good geologist?,What should I do to be a great geologist?,1,0.9830135703086853,0.9830136299133301,0.18431738,binary,is_duplicate
When do you use シ instead of し?,"""When do you use """"&"""" instead of """"and""""?""",0,0.8789797425270081,0.8789797425270081,0.49197614,binary,is_duplicate
Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,0,0.9032590389251709,0.9032591581344604,0.43986595,binary,is_duplicate
Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0,0.6733976006507874,0.6733976006507874,0.80821085,binary,is_duplicate
How do I read and find my YouTube comments?,How can I see all my Youtube comments?,1,0.9575521349906921,0.9575521945953369,0.29136893,binary,is_duplicate
What can make Physics easy to learn?,How can you make physics easy to learn?,1,0.9708702564239502,0.9708700776100159,0.24137038,binary,is_duplicate
What was your first sexual experience like?,What was your first sexual experience?,1,0.98293536901474,0.98293536901474,0.18474105,binary,is_duplicate
"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,0,0.9723109006881714,0.9723109602928162,0.2353255,binary,is_duplicate
What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,1,0.9173935055732727,0.9173935651779175,0.40646398,binary,is_duplicate
What does manipulation mean?,What does manipulation means?,1,0.9983693361282349,0.9983695149421692,0.0571065,binary,is_duplicate
Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,0,0.7983089089393616,0.7983089685440063,0.63512367,binary,is_duplicate
Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,1,0.9679303765296936,0.9679304957389832,0.25325692,binary,is_duplicate
Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,0,0.937652051448822,0.9376521706581116,0.35312304,binary,is_duplicate
Why do rockets look white?,Why are rockets and boosters painted white?,1,0.9503423571586609,0.9503424167633057,0.31514344,binary,is_duplicate
What's causing someone to be jealous?,What can I do to avoid being jealous of someone?,0,0.8503018617630005,0.8503018617630005,0.54717124,binary,is_duplicate
What are the questions should not ask on Quora?,Which question should I ask on Quora?,0,0.8515657782554626,0.8515658378601074,0.54485637,binary,is_duplicate
How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?,0,0.8077425360679626,0.8077425360679626,0.6200925,binary,is_duplicate
