first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
A man is playing a large flute.,A man is playing a flute.,3.800,0.900413990020752,0.9004141092300415,0.4462867,scale_0_5,score
A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,3.800,0.963223397731781,0.963223397731781,0.27120736,scale_0_5,score
Three men are playing chess.,Two men are playing chess.,2.600,0.9075190424919128,0.9075191617012024,0.43007177,scale_0_5,score
A man is playing the cello.,A man seated is playing the cello.,4.250,0.9204580783843994,0.9204580783843994,0.39885297,scale_0_5,score
Some men are fighting.,Two men are fighting.,4.250,0.9468202590942383,0.9468203783035278,0.32612768,scale_0_5,score
A man is smoking.,A man is skating.,0.500,0.752606213092804,0.7526063323020935,0.7034115,scale_0_5,score
The man is playing the piano.,The man is playing the guitar.,1.600,0.8043186068534851,0.8043186068534851,0.62559015,scale_0_5,score
A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,2.200,0.8394110202789307,0.8394110202789307,0.56672573,scale_0_5,score
A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,5.000,0.9833172559738159,0.9833172559738159,0.18266268,scale_0_5,score
The man hit the other man with a stick.,The man spanked the other man with a stick.,4.200,0.9555733799934387,0.9555733799934387,0.29808316,scale_0_5,score
A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,4.600,0.9863762259483337,0.9863764047622681,0.16506797,scale_0_5,score
A man is playing a flute.,A man is playing a bamboo flute.,3.867,0.8669185638427734,0.8669185638427734,0.5159099,scale_0_5,score
A person is folding a piece of paper.,Someone is folding a piece of paper.,4.667,0.9875338673591614,0.9875339269638062,0.15790007,scale_0_5,score
A man is running on the road.,A panda dog is running on the road.,1.667,0.7623603940010071,0.7623604536056519,0.6894049,scale_0_5,score
A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,3.750,0.9470986127853394,0.9470986127853394,0.3252736,scale_0_5,score
The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,5.000,0.961643397808075,0.9616435766220093,0.27697176,scale_0_5,score
