first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
Simpson Strong-Tie 12-Gauge Angle,angle bracket,3.0,0.37847912311553955,0.37847909331321716,1.1149179,scale_0_5,score
Simpson Strong-Tie 12-Gauge Angle,l bracket,2.5,0.09221991896629333,0.09221988916397095,1.3474275,scale_0_5,score
BEHR Premium Textured DeckOver 1-gal. #SC-141 Tugboat Wood and Concrete Coating,deck over,3.0,0.05631054937839508,0.05631054937839508,1.3738191,scale_0_5,score
Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included),rain shower head,2.33,0.24280329048633575,0.24280329048633575,1.230607,scale_0_5,score
Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included),shower only faucet,2.67,0.5305225849151611,0.5305225849151611,0.96899676,scale_0_5,score
Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,convection otr,3.0,0.242015540599823,0.242015540599823,1.231247,scale_0_5,score
Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,microwave over stove,2.67,0.44237402081489563,0.44237402081489563,1.056055,scale_0_5,score
Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,microwaves,3.0,0.2855142056941986,0.2855142056941986,1.1953961,scale_0_5,score
Lithonia Lighting Quantum 2-Light Black LED Emergency Fixture Unit,emergency light,2.67,0.3563087582588196,0.3563087582588196,1.1346289,scale_0_5,score
House of Fara 3/4 in. x 3 in. x 8 ft. MDF Fluted Casing,mdf 3/4,3.0,0.5222213864326477,0.5222214460372925,0.9775262,scale_0_5,score
Valley View Industries Metal Stakes (4-Pack),steele stake,2.67,0.1955418586730957,0.1955418586730957,1.2684306,scale_0_5,score
Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,briggs and stratton lawn mower,3.0,0.7319678664207458,0.7319678664207458,0.7321641,scale_0_5,score
