first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
can not share audio via bluetooth,good for on-line presentation,0,-0.0013840087922289968,-0.0013840087922289968,1.4151919,binary,is_reason
Google sign-in does not work!,hard to use video,0,0.14896337687969208,0.14896339178085327,1.3046353,binary,is_reason
the best platform to communicate in a pandemic,good for communication,1,0.3129948675632477,0.3129948675632477,1.172182,binary,is_reason
it will not open on my telephone!,app is bad for work,0,0.2518640458583832,0.2518640458583832,1.223222,binary,is_reason
this app is very expensive to learn study online classes,app is expensive for online classes,1,0.8687628507614136,0.8687629103660583,0.51232266,binary,is_reason
I am not able to sign up for hulu,unable to sign up for hulu,1,0.9673810005187988,0.9673811793327332,0.2554173,binary,is_reason
now it does not work on oneplus,unable to use subtitle on chromecast,0,0.09779313951730728,0.09779313951730728,1.3432847,binary,is_reason
because i can not skip class,unable to connect to airplay,0,0.009864166378974915,0.00986417569220066,1.4072213,binary,is_reason
you can not change your mic setting while drawing on someone else's,want to change mic setting while drawing,1,0.8527643084526062,0.852764368057251,0.542652,binary,is_reason
too dangerous for my children.,bad app for children,1,0.4649878144264221,0.4649878442287445,1.0344198,binary,is_reason
i can not meet my friend,app is slow and clang patronizely,0,0.17226672172546387,0.17226670682430267,1.2866495,binary,is_reason
"erstwhiles the app will clang, but i just restart my telephone.",want to change setting,0,0.1357422024011612,0.1357422173023224,1.3147303,binary,is_reason
some features are missing,features are missing,1,0.9478047490119934,0.9478049874305725,0.32309496,binary,is_reason
i forget my password and try to set new password via electronic_mail,have to reinstall the app to make the app work,0,0.19882430136203766,0.19882431626319885,1.2658403,binary,is_reason
"the whole point of download is to watch offline, but the app wants you to be connect.",upapproach meeting are not in sync,0,0.18155699968338013,0.18155702948570251,1.2794085,binary,is_reason
love this app i can always get on rapid_climb with my friend or family,background voice issue,0,0.015682201832532883,0.015682199969887733,1.4030808,binary,is_reason
will not connect to my outlook contact addresses which is a pain.,want to connect to outlook email,1,0.6760483980178833,0.6760483980178833,0.80492425,binary,is_reason
it is rather annoyance because when you want to attend a meeting it just comes up that the app need updating.,want to hear audio without headteletelephone,0,0.10465539246797562,0.10465539246797562,1.3381664,binary,is_reason
not very much good always asks to switch account and sign in,want to switch account and sign in,1,0.4500750005245209,0.45007506012916565,1.0487374,binary,is_reason
"best entertainment app for video, movie, cartoon","good for watching movies, series and cartoons",1,0.5178084969520569,0.5178084969520569,0.98203003,binary,is_reason
I am using 150mbps but the cyclosis quality is very bad on android tv.,unable to subscribe on app,0,0.06328418105840683,0.06328417360782623,1.3687336,binary,is_reason
everyone says there is no support for Turkish language translate from setting to Turkish so simple or how did you not understand?,want to share file in chat,0,0.15259146690368652,0.15259146690368652,1.3018515,binary,is_reason
"unfortunately, no sound on tv when i plug my ipad or iphone into an hdmi adapter.",want to hear audio on tv after plugging in ios devices into hdmi adapter,1,0.8592429757118225,0.8592430949211121,0.53057873,binary,is_reason
sound problem - why is it so hard?,pen is not working,0,0.14838124811649323,0.14838124811649323,1.3050814,binary,is_reason
"also, it would be nice if there was a way to remove items from the ""continue observation"" list.",receive incorrect telephone number message,0,-0.05552121624350548,-0.05552122741937637,1.4529427,binary,is_reason
"poor performance, and always updating even in on-line class meeting,",app has virtual background,0,0.09891883283853531,0.09891883283853531,1.3424464,binary,is_reason
i have not even try the application but the regestration just freeze out why do so many items,want to connect to the conference,0,0.11835630238056183,0.11835631728172302,1.3278884,binary,is_reason
best app for on-line teaching,better the quality of communication,0,0.10023908317089081,0.10023908317089081,1.3414626,binary,is_reason
no option for chew_the_fat,unable to download rapid_climb app,0,0.30105966329574585,0.30105963349342346,1.18232,binary,is_reason
but i would like it to lower_berth its memory at least up to 50% of memory since it is time to uninstall apps that may be necessitate,want to specialize in computer science,0,0.06333951652050018,0.06333951652050018,1.3686932,binary,is_reason
but the picture quality is not great.,poor picture quality,1,0.64641934633255,0.64641934633255,0.8409288,binary,is_reason
good one for on-line business.,24mb rapid_climb emojis are download all the time,0,0.15143711864948273,0.15143714845180511,1.3027378,binary,is_reason
you should like the option that you can put wallpaper on cell telephone,want to get card,0,0.11171966791152954,0.11171969026327133,1.3328768,binary,is_reason
i can not change my language to russian or ukrainian!,want to change russian language,1,0.7162115573883057,0.7162114381790161,0.75337696,binary,is_reason
can not change settings like background picture until I am already in a meeting,want to change settings like background picture,1,0.6236998438835144,0.6236998438835144,0.8675254,binary,is_reason
"since i update it, it will not let me enter the app",unable to login since the update,1,0.6375108957290649,0.6375108957290649,0.8514566,binary,is_reason
"the bell is not necessity, it is okay to leave a banner on the screen but not a bell every time person articulation.",want to open camera,0,0.04725482687354088,0.04725482687354088,1.380395,binary,is_reason
"i use to use rapid_climb on both my tablet and Mobile with same history in same time, so it very easy to switch between device and its very useful.",easy to use without have to memorize kuji,0,0.27186518907546997,0.27186521887779236,1.2067599,binary,is_reason
some episode are miss.,want to change name and profile picture,0,-0.03963257744908333,-0.039632584899663925,1.4419657,binary,is_reason
this app is only worst my time class automatic disconnect,app is bad for time management,1,0.6300281286239624,0.6300280094146729,0.8602,binary,is_reason
will not let me even install it,want to lower_berth age limit,0,0.0371563583612442,0.0371563620865345,1.3876914,binary,is_reason
can not even read / write message coincidently.,want to disable auto revolve feature,0,-0.019711900502443314,-0.019711900502443314,1.428084,binary,is_reason
