first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
A man is playing a large flute.,A man is playing a flute.,3.800,0.8690922856330872,0.8690923452377319,0.511679,scale_0_5,score
A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,3.800,0.8719378709793091,0.8719379305839539,0.506087,scale_0_5,score
Three men are playing chess.,Two men are playing chess.,2.600,0.8031405806541443,0.8031406402587891,0.62746996,scale_0_5,score
A man is playing the cello.,A man seated is playing the cello.,4.250,0.902344822883606,0.902344822883606,0.44193944,scale_0_5,score
Some men are fighting.,Two men are fighting.,4.250,0.9236748814582825,0.923675000667572,0.39070448,scale_0_5,score
A man is smoking.,A man is skating.,0.500,0.26546454429626465,0.26546451449394226,1.2120523,scale_0_5,score
The man is playing the piano.,The man is playing the guitar.,1.600,0.27586060762405396,0.27586060762405396,1.2034445,scale_0_5,score
A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,2.200,0.63921058177948,0.6392107009887695,0.8494579,scale_0_5,score
A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,5.000,0.95585036277771,0.9558504223823547,0.29715204,scale_0_5,score
The man hit the other man with a stick.,The man spanked the other man with a stick.,4.200,0.8032931685447693,0.8032930493354797,0.6272272,scale_0_5,score
A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,4.600,0.9817916750907898,0.9817917346954346,0.19083233,scale_0_5,score
A man is playing a flute.,A man is playing a bamboo flute.,3.867,0.8302037119865417,0.8302038311958313,0.5827458,scale_0_5,score
A person is folding a piece of paper.,Someone is folding a piece of paper.,4.667,0.9930137395858765,0.9930137395858765,0.11820544,scale_0_5,score
A man is running on the road.,A panda dog is running on the road.,1.667,0.5296943187713623,0.5296943187713623,0.9698512,scale_0_5,score
A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,3.750,0.8908374905586243,0.8908376097679138,0.4672525,scale_0_5,score
The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,5.000,0.9753403067588806,0.9753403067588806,0.22207992,scale_0_5,score
A woman is writing.,A woman is swimming.,0.500,0.24729889631271362,0.24729891121387482,1.2269483,scale_0_5,score
A cat is rubbing against baby's face.,A cat is rubbing against a baby.,3.800,0.9536263942718506,0.9536263942718506,0.30454424,scale_0_5,score
