first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
can not share audio via bluetooth,good for on-line presentation,0,98.50260162353516,1.0,0.0,binary,is_reason
Google sign-in does not work!,hard to use video,0,87.47203063964844,1.0,0.0,binary,is_reason
the best platform to communicate in a pandemic,good for communication,1,68.87625122070312,1.0,0.0,binary,is_reason
it will not open on my telephone!,app is bad for work,0,77.92383575439453,1.0,0.0,binary,is_reason
this app is very expensive to learn study online classes,app is expensive for online classes,1,81.87866973876953,1.0,0.0,binary,is_reason
I am not able to sign up for hulu,unable to sign up for hulu,1,100.43780517578125,0.9999998211860657,0.0,binary,is_reason
now it does not work on oneplus,unable to use subtitle on chromecast,0,90.29381561279297,1.0,0.0,binary,is_reason
because i can not skip class,unable to connect to airplay,0,72.5007553100586,1.0000001192092896,0.0,binary,is_reason
you can not change your mic setting while drawing on someone else's,want to change mic setting while drawing,1,80.54060363769531,1.000000238418579,0.0,binary,is_reason
too dangerous for my children.,bad app for children,1,67.04776000976562,1.0000001192092896,0.0,binary,is_reason
i can not meet my friend,app is slow and clang patronizely,0,92.0744857788086,1.0,0.0,binary,is_reason
"erstwhiles the app will clang, but i just restart my telephone.",want to change setting,0,66.81888580322266,1.000000238418579,0.0,binary,is_reason
some features are missing,features are missing,1,82.18264770507812,1.0000001192092896,0.0,binary,is_reason
i forget my password and try to set new password via electronic_mail,have to reinstall the app to make the app work,0,84.98258972167969,0.9999999403953552,0.0,binary,is_reason
"the whole point of download is to watch offline, but the app wants you to be connect.",upapproach meeting are not in sync,0,73.3292465209961,1.0,0.0,binary,is_reason
love this app i can always get on rapid_climb with my friend or family,background voice issue,0,84.22222900390625,0.9999998807907104,0.0,binary,is_reason
will not connect to my outlook contact addresses which is a pain.,want to connect to outlook email,1,94.9076156616211,1.0,0.0,binary,is_reason
it is rather annoyance because when you want to attend a meeting it just comes up that the app need updating.,want to hear audio without headteletelephone,0,74.46622467041016,0.9999999403953552,0.0,binary,is_reason
not very much good always asks to switch account and sign in,want to switch account and sign in,1,91.0167465209961,1.000000238418579,0.0,binary,is_reason
"best entertainment app for video, movie, cartoon","good for watching movies, series and cartoons",1,69.98346710205078,1.0,0.0,binary,is_reason
I am using 150mbps but the cyclosis quality is very bad on android tv.,unable to subscribe on app,0,78.3302001953125,1.0,0.0,binary,is_reason
everyone says there is no support for Turkish language translate from setting to Turkish so simple or how did you not understand?,want to share file in chat,0,75.8703842163086,1.0,0.0,binary,is_reason
"unfortunately, no sound on tv when i plug my ipad or iphone into an hdmi adapter.",want to hear audio on tv after plugging in ios devices into hdmi adapter,1,82.6407699584961,1.0000001192092896,0.0,binary,is_reason
