first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
Simpson Strong-Tie 12-Gauge Angle,angle bracket,3.0,0.3828198313713074,0.3828198313713074,1.1110177,scale_0_5,score
Simpson Strong-Tie 12-Gauge Angle,l bracket,2.5,0.19891484081745148,0.19891484081745148,1.2657686,scale_0_5,score
BEHR Premium Textured DeckOver 1-gal. #SC-141 Tugboat Wood and Concrete Coating,deck over,3.0,0.3641878366470337,0.3641878366470337,1.1276633,scale_0_5,score
Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included),rain shower head,2.33,0.37174269556999207,0.37174269556999207,1.1209437,scale_0_5,score
Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included),shower only faucet,2.67,0.6228062510490417,0.6228063106536865,0.86855483,scale_0_5,score
Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,convection otr,3.0,0.4341975152492523,0.4341975152492523,1.0637692,scale_0_5,score
Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,microwave over stove,2.67,0.5202773809432983,0.5202774405479431,0.97951263,scale_0_5,score
Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,microwaves,3.0,0.37001654505729675,0.37001654505729675,1.1224824,scale_0_5,score
Lithonia Lighting Quantum 2-Light Black LED Emergency Fixture Unit,emergency light,2.67,0.6543213129043579,0.6543213129043579,0.8314791,scale_0_5,score
House of Fara 3/4 in. x 3 in. x 8 ft. MDF Fluted Casing,mdf 3/4,3.0,0.35716864466667175,0.35716864466667175,1.1338706,scale_0_5,score
Valley View Industries Metal Stakes (4-Pack),steele stake,2.67,0.4319797158241272,0.4319797456264496,1.0658519,scale_0_5,score
Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,briggs and stratton lawn mower,3.0,0.7923644781112671,0.7923645973205566,0.64441514,scale_0_5,score
Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,gas mowe,3.0,0.2957923710346222,0.2957924008369446,1.1867667,scale_0_5,score
Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,honda mower,2.0,0.6470530033111572,0.6470531225204468,0.840175,scale_0_5,score
Hampton Bay Caramel Simple Weave Bamboo Rollup Shade - 96 in. W x 72 in. L,hampton bay chestnut pull up shade,2.67,0.5890643000602722,0.5890643000602722,0.90657127,scale_0_5,score
InSinkErator SinkTop Switch Single Outlet for InSinkErator Disposers,disposer,2.67,0.3874521851539612,0.38745224475860596,1.1068403,scale_0_5,score
Sunjoy Calais 8 ft. x 5 ft. x 8 ft. Steel Tile Fabric Grill Gazebo,grill gazebo,3.0,0.7100751996040344,0.7100751996040344,0.76147854,scale_0_5,score
"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",door guards,1.0,0.13490217924118042,0.1349021941423416,1.315369,scale_0_5,score
"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",metal plate cover gcfi,1.67,0.41351404786109924,0.413514107465744,1.0830382,scale_0_5,score
"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",radiator grate,2.33,0.12704187631607056,0.12704187631607056,1.3213313,scale_0_5,score
"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",windows screens,2.33,0.11110594123601913,0.11110594868659973,1.3333372,scale_0_5,score
House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,1x1 rail decorative wood,1.33,0.22716329991817474,0.22716329991817474,1.2432512,scale_0_5,score
House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,4*8 beadboard paneling,2.67,0.5757649540901184,0.5757649540901184,0.9211244,scale_0_5,score
House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,4x8wood paneling,2.33,0.608068585395813,0.6080687046051025,0.88536024,scale_0_5,score
House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,MDF 4x8,1.33,0.3686252236366272,0.3686252236366272,1.1237214,scale_0_5,score
House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,wainscot chair rail,2.33,0.31420329213142395,0.31420329213142395,1.1711504,scale_0_5,score
House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,wainscot plank paneling,2.33,0.6816980242729187,0.6816981434822083,0.79787475,scale_0_5,score
1804 Dual Spray Half Pattern 4 in Pop-Up Spray Head,lawn sprkinler,2.0,0.22542044520378113,0.22542044520378113,1.2446523,scale_0_5,score
1804 Dual Spray Half Pattern 4 in Pop-Up Spray Head,rainbird sprinkler,2.33,0.33710625767707825,0.33710625767707825,1.1514285,scale_0_5,score
"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR",PLATFORM FOR WASHERS,2.67,0.37543925642967224,0.37543925642967224,1.117641,scale_0_5,score
"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR",samsung front load washer 3.7,2.0,0.7274268269538879,0.7274268269538879,0.7383403,scale_0_5,score
"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR",upholstery washing machines with steam,2.33,0.5433666706085205,0.5433666706085205,0.9556498,scale_0_5,score
Quikrete 80 lb. Crack-Resistant Concrete,CONCRETE & MASONRY CLEANER & ETCHER,3.0,0.35542458295822144,0.3554246425628662,1.1354078,scale_0_5,score
Quikrete 80 lb. Crack-Resistant Concrete,concrete for ponds,2.0,0.40981367230415344,0.4098137617111206,1.0864495,scale_0_5,score
Quikrete 80 lb. Crack-Resistant Concrete,flexlock for cracks,2.0,0.4386803209781647,0.43868035078048706,1.0595467,scale_0_5,score
