first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.",The carrot had a hole.,1,0.9230590462684631,0.9230589866638184,0.39227802,binary,is_entailment
John couldn't see the stage with Billy in front of him because he is so short.,John is so short.,1,0.8678090572357178,0.8678090572357178,0.51418084,binary,is_entailment
The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.,The police were trying to stop the drug trade in the neighborhood.,1,0.8536621928215027,0.8536623120307922,0.540995,binary,is_entailment
Steve follows Fred's example in everything. He influences him hugely.,Steve influences him hugely.,0,0.9173479080200195,0.9173479676246643,0.4065763,binary,is_entailment
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","mother was careful not to disturb her, undressing and climbing back into her berth.",0,0.914077877998352,0.9140779376029968,0.41454133,binary,is_entailment
"George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.",George was particularly eager to see it.,0,0.823335587978363,0.823335587978363,0.5944148,binary,is_entailment
John was jogging through the park when he saw a man juggling watermelons. He was very impressive.,John was very impressive.,0,0.8378862738609314,0.8378862738609314,0.5694096,binary,is_entailment
I couldn't put the pot on the shelf because it was too tall.,The pot was too tall.,1,0.9026322364807129,0.9026323556900024,0.44128856,binary,is_entailment
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.",There were simply not enough copies of the newsletter.,1,0.8764823079109192,0.8764823079109192,0.49702665,binary,is_entailment
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.,The judges were so advanced.,0,0.814451277256012,0.814451277256012,0.6091779,binary,is_entailment
I took the water bottle out of the backpack so that it would be lighter.,I took the water bottle out of the backpack so that the backpack would be lighter.,1,0.9918091297149658,0.9918091297149658,0.12799047,binary,is_entailment
The table won't fit through the doorway because it is too narrow.,The table is too narrow.,0,0.9359099864959717,0.9359099864959717,0.3580223,binary,is_entailment
I took the water bottle out of the backpack so that it would be handy.,I took the water bottle out of the backpack so that the backpack would be handy.,0,0.9916498064994812,0.9916497468948364,0.1292323,binary,is_entailment
The firemen arrived after the police because they were coming from so far away.,The police were coming from so far away.,0,0.9044623374938965,0.9044623970985413,0.43712163,binary,is_entailment
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",Dad could not help him now.,0,0.794237494468689,0.7942376136779785,0.641502,binary,is_entailment
I poured water from the bottle into the cup until it was empty.,The cup was empty.,0,0.7904424667358398,0.7904424667358398,0.6473911,binary,is_entailment
I put the cake away in the refrigerator. It has a lot of butter in it.,The cake has a lot of butter in it.,1,0.8681150674819946,0.8681151270866394,0.5135853,binary,is_entailment
"Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.",Lionel plans to use it on Geoffrey and send Lionel to steal nuclear material from an army vault.,0,0.8935842514038086,0.8935843706130981,0.46133658,binary,is_entailment
The foxes are getting in at night and attacking the chickens. They have gotten very bold.,The foxes have gotten very bold.,1,0.8932613134384155,0.8932613730430603,0.46203616,binary,is_entailment
"Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.","The piano was broken, so he had to stand instead.",0,0.9498850703239441,0.9498850703239441,0.31659123,binary,is_entailment
Jane knocked on Susan's door but she did not get an answer.,Susan did not get an answer.,0,0.8922140002250671,0.8922140002250671,0.4642975,binary,is_entailment
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.",Adam would have won.,0,0.8402677178382874,0.8402677774429321,0.565212,binary,is_entailment
I put the butterfly wing on the table and it broke.,The table broke.,0,0.8523874878883362,0.8523876070976257,0.5433457,binary,is_entailment
"Paul tried to call George on the phone, but he wasn't successful.",Paul wasn't successful.,1,0.8563931584358215,0.8563931584358215,0.5359231,binary,is_entailment
Look! There is a shark swimming right below that duck! It had better get away to safety fast!,The shark had better get away to safety fast!,0,0.9229795932769775,0.9229797720909119,0.39248016,binary,is_entailment
The trophy doesn't fit into the brown suitcase because it is too large.,The suitcase is too large.,0,0.886361300945282,0.8863614201545715,0.47673595,binary,is_entailment
"Joe's uncle can still beat him at tennis, even though he is 30 years older.",Joe is 30 years older.,0,0.825374186038971,0.825374186038971,0.5909752,binary,is_entailment
The large ball crashed right through the table because it was made of steel.,The large ball was made of steel.,1,0.8798800110816956,0.8798801302909851,0.4901427,binary,is_entailment
Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.,The crutches should be better.,0,0.8258287906646729,0.8258287906646729,0.5902056,binary,is_entailment
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",His friend Henry let him stack Grant and his family in his barn where they would dry.,0,0.8535436987876892,0.8535438179969788,0.5412138,binary,is_entailment
"Jane knocked on the door, and Susan answered it. She invited her to come out.",Jane invited her to come out.,1,0.9131364226341248,0.9131364822387695,0.41680577,binary,is_entailment
Dan had to stop Bill from toying with the injured bird. He is very cruel.,Bill is very cruel.,1,0.8924168944358826,0.8924168944358826,0.46386024,binary,is_entailment
"Tom said ""Check"" to Ralph as he took his bishop.","Tom said ""Check"" to Ralph as he took Ralph's bishop.",1,0.993463397026062,0.9934634566307068,0.11433736,binary,is_entailment
"I sallied out for a bit of food, more to pass the time than because I wanted it.","I sallied out for a bit of food, more to pass the time than because I wanted food.",1,0.9931553602218628,0.9931554794311523,0.11700095,binary,is_entailment
Joe paid the detective after he received the final report on the case.,Joe received the final report on the case.,1,0.9212450385093689,0.921245276927948,0.39687502,binary,is_entailment
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.",There were simply too many copies of the newsletter.,0,0.8919346332550049,0.8919347524642944,0.46489832,binary,is_entailment
Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.,He will be moving into The new house on Thursday.,1,0.9014631509780884,0.9014631509780884,0.44392967,binary,is_entailment
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",He could not help Dad now.,1,0.8071603775024414,0.807160496711731,0.62103075,binary,is_entailment
"The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.","Beside the table there were crocks, baskets, and a five-quart pail of milk.",1,0.9007641673088074,0.9007641673088074,0.44550154,binary,is_entailment
Jim comforted Kevin because he was so upset.,Kevin was so upset.,1,0.893677830696106,0.893677830696106,0.46113354,binary,is_entailment
"Jackson was greatly influenced by Arnold, though he lived two centuries earlier.",Arnold lived two centuries earlier.,1,0.9266049861907959,0.9266051054000854,0.38313174,binary,is_entailment
"There is a pillar between me and the stage, and I can't see around it.",I can't see around the stage.,0,0.924476683139801,0.9244768619537354,0.38864723,binary,is_entailment
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.",Prehistoric humans hunted for deer on the river banks.,1,0.854195237159729,0.8541953563690186,0.54000854,binary,is_entailment
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.",Amy's parents are snobs.,1,0.86896151304245,0.8689613938331604,0.51193446,binary,is_entailment
Bill passed the half-empty plate to John because he was hungry.,John was hungry.,1,0.8573014140129089,0.8573015332221985,0.5342255,binary,is_entailment
Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.,She writes the book when she gets home from work.,0,0.8584153652191162,0.858415424823761,0.53213644,binary,is_entailment
"John promised Bill to leave, so an hour later he left.",Bill left.,0,0.8248734474182129,0.8248735666275024,0.5918217,binary,is_entailment
Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.,She reads the article when she gets home from work.,0,0.8875451683998108,0.8875452876091003,0.4742464,binary,is_entailment
Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,The door of the shop closed after Steve.,1,0.8673977851867676,0.8673977851867676,0.5149801,binary,is_entailment
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.","When Fred first saw my father, My father was twelve years old.",0,0.9037575125694275,0.9037575125694275,0.43873107,binary,is_entailment
"Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: ""There's plenty.""","Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled Grandma to the table.",0,0.8996163606643677,0.8996164798736572,0.44807038,binary,is_entailment
Fred watched TV while George went out to buy groceries. After an hour he got back.,George got back.,1,0.7804180979728699,0.7804180979728699,0.6626944,binary,is_entailment
"Lily spoke to Donna, breaking her concentration.","Lily spoke to Donna, breaking Donna's concentration.",1,0.9866827726364136,0.9866827726364136,0.16320159,binary,is_entailment
