first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
Simpson Strong-Tie 12-Gauge Angle,angle bracket,3.0,151.87252807617188,0.6264048218727112,14.391848,scale_0_5,score
Simpson Strong-Tie 12-Gauge Angle,l bracket,2.5,76.2196273803711,0.3472025990486145,17.26037,scale_0_5,score
BEHR Premium Textured DeckOver 1-gal. #SC-141 Tugboat Wood and Concrete Coating,deck over,3.0,85.89067840576172,0.44368913769721985,16.509338,scale_0_5,score
Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included),rain shower head,2.33,127.42920684814453,0.5267802476882935,16.211927,scale_0_5,score
Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included),shower only faucet,2.67,158.0543670654297,0.672593355178833,13.483848,scale_0_5,score
Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,convection otr,3.0,60.10527038574219,0.3596770465373993,14.899709,scale_0_5,score
Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,microwave over stove,2.67,117.12905883789062,0.6288604140281677,12.5824585,scale_0_5,score
Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,microwaves,3.0,131.79849243164062,0.6419684886932373,13.583,scale_0_5,score
Lithonia Lighting Quantum 2-Light Black LED Emergency Fixture Unit,emergency light,2.67,128.52426147460938,0.5731765031814575,15.430221,scale_0_5,score
House of Fara 3/4 in. x 3 in. x 8 ft. MDF Fluted Casing,mdf 3/4,3.0,77.90342712402344,0.5277699828147888,12.035893,scale_0_5,score
Valley View Industries Metal Stakes (4-Pack),steele stake,2.67,83.3485336303711,0.39370813965797424,16.99181,scale_0_5,score
Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,briggs and stratton lawn mower,3.0,104.57305145263672,0.6455168128013611,10.789531,scale_0_5,score
Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,gas mowe,3.0,58.25148391723633,0.33368000388145447,15.423205,scale_0_5,score
Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,honda mower,2.0,141.31802368164062,0.696875810623169,12.010206,scale_0_5,score
Hampton Bay Caramel Simple Weave Bamboo Rollup Shade - 96 in. W x 72 in. L,hampton bay chestnut pull up shade,2.67,118.2199935913086,0.67612224817276,11.336859,scale_0_5,score
InSinkErator SinkTop Switch Single Outlet for InSinkErator Disposers,disposer,2.67,98.07424926757812,0.4299716055393219,16.66527,scale_0_5,score
Sunjoy Calais 8 ft. x 5 ft. x 8 ft. Steel Tile Fabric Grill Gazebo,grill gazebo,3.0,91.37317657470703,0.488582968711853,15.488947,scale_0_5,score
"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",door guards,1.0,9.219293594360352,0.0426618717610836,21.452501,scale_0_5,score
"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",metal plate cover gcfi,1.67,63.12312316894531,0.4029444456100464,13.785654,scale_0_5,score
"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",radiator grate,2.33,34.46757507324219,0.1631207913160324,19.866568,scale_0_5,score
"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",windows screens,2.33,30.417665481567383,0.12389790266752243,22.743431,scale_0_5,score
House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,1x1 rail decorative wood,1.33,75.86148834228516,0.3801848292350769,16.34241,scale_0_5,score
