first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
can not share audio via bluetooth,good for on-line presentation,0,-27.098148345947266,-0.10847169160842896,23.535597,binary,is_reason
Google sign-in does not work!,hard to use video,0,-32.300514221191406,-0.12737515568733215,23.911808,binary,is_reason
the best platform to communicate in a pandemic,good for communication,1,116.56005096435547,0.5645557045936584,13.704682,binary,is_reason
it will not open on my telephone!,app is bad for work,0,51.16463088989258,0.25451773405075073,17.32079,binary,is_reason
this app is very expensive to learn study online classes,app is expensive for online classes,1,195.9943084716797,0.8373156189918518,8.746639,binary,is_reason
I am not able to sign up for hulu,unable to sign up for hulu,1,270.2315673828125,0.9526470899581909,5.523464,binary,is_reason
now it does not work on oneplus,unable to use subtitle on chromecast,0,33.438011169433594,0.12034175544977188,22.189386,binary,is_reason
because i can not skip class,unable to connect to airplay,0,-25.732851028442383,-0.0997694581747055,23.891619,binary,is_reason
you can not change your mic setting while drawing on someone else's,want to change mic setting while drawing,1,167.20721435546875,0.7312177419662476,11.135849,binary,is_reason
too dangerous for my children.,bad app for children,1,76.8377456665039,0.3772483468055725,16.02346,binary,is_reason
i can not meet my friend,app is slow and clang patronizely,0,-13.519505500793457,-0.05952446907758713,22.06264,binary,is_reason
"erstwhiles the app will clang, but i just restart my telephone.",want to change setting,0,47.99016571044922,0.21120585501194,19.252924,binary,is_reason
some features are missing,features are missing,1,220.68751525878906,0.9429821968078613,5.189122,binary,is_reason
i forget my password and try to set new password via electronic_mail,have to reinstall the app to make the app work,0,31.130218505859375,0.12435716390609741,20.979055,binary,is_reason
"the whole point of download is to watch offline, but the app wants you to be connect.",upapproach meeting are not in sync,0,18.21094512939453,0.09442687034606934,18.695114,binary,is_reason
love this app i can always get on rapid_climb with my friend or family,background voice issue,0,-2.5501644611358643,-0.010590750724077225,23.246315,binary,is_reason
will not connect to my outlook contact addresses which is a pain.,want to connect to outlook email,1,181.24343872070312,0.7422912120819092,12.206662,binary,is_reason
it is rather annoyance because when you want to attend a meeting it just comes up that the app need updating.,want to hear audio without headteletelephone,0,10.19536304473877,0.05231688544154167,20.12258,binary,is_reason
not very much good always asks to switch account and sign in,want to switch account and sign in,1,210.92262268066406,0.8264305591583252,10.438234,binary,is_reason
"best entertainment app for video, movie, cartoon","good for watching movies, series and cartoons",1,123.35576629638672,0.5663955211639404,13.792379,binary,is_reason
I am using 150mbps but the cyclosis quality is very bad on android tv.,unable to subscribe on app,0,16.335105895996094,0.08518535643815994,19.602524,binary,is_reason
everyone says there is no support for Turkish language translate from setting to Turkish so simple or how did you not understand?,want to share file in chat,0,3.989020586013794,0.017865397036075592,21.565073,binary,is_reason
"unfortunately, no sound on tv when i plug my ipad or iphone into an hdmi adapter.",want to hear audio on tv after plugging in ios devices into hdmi adapter,1,157.29629516601562,0.8064729571342468,8.694555,binary,is_reason
sound problem - why is it so hard?,pen is not working,0,22.05876922607422,0.10097091645002365,20.015028,binary,is_reason
"also, it would be nice if there was a way to remove items from the ""continue observation"" list.",receive incorrect telephone number message,0,-6.448230266571045,-0.029699956998229027,22.877811,binary,is_reason
"poor performance, and always updating even in on-line class meeting,",app has virtual background,0,11.816689491271973,0.06138750538229942,19.776173,binary,is_reason
