first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
can not share audio via bluetooth,good for on-line presentation,0,0.5781471133232117,0.5781471133232117,0.9185345,binary,is_reason
Google sign-in does not work!,hard to use video,0,0.6997082233428955,0.6997082233428955,0.77497333,binary,is_reason
the best platform to communicate in a pandemic,good for communication,1,0.8167747855186462,0.8167746663093567,0.6053518,binary,is_reason
it will not open on my telephone!,app is bad for work,0,0.7154228091239929,0.7154228687286377,0.7544232,binary,is_reason
this app is very expensive to learn study online classes,app is expensive for online classes,1,0.9557389616966248,0.9557389616966248,0.29752675,binary,is_reason
I am not able to sign up for hulu,unable to sign up for hulu,1,0.9739835262298584,0.9739835262298584,0.22810741,binary,is_reason
now it does not work on oneplus,unable to use subtitle on chromecast,0,0.7333775162696838,0.7333775758743286,0.7302363,binary,is_reason
because i can not skip class,unable to connect to airplay,0,0.6350934505462646,0.6350934505462646,0.85429096,binary,is_reason
you can not change your mic setting while drawing on someone else's,want to change mic setting while drawing,1,0.7884421348571777,0.7884421348571777,0.6504736,binary,is_reason
too dangerous for my children.,bad app for children,1,0.7213201522827148,0.7213202118873596,0.74656516,binary,is_reason
i can not meet my friend,app is slow and clang patronizely,0,0.6375893950462341,0.6375893354415894,0.8513645,binary,is_reason
"erstwhiles the app will clang, but i just restart my telephone.",want to change setting,0,0.6964658498764038,0.6964659094810486,0.779146,binary,is_reason
some features are missing,features are missing,1,0.9814196228981018,0.9814196825027466,0.19277139,binary,is_reason
i forget my password and try to set new password via electronic_mail,have to reinstall the app to make the app work,0,0.6720950603485107,0.6720951795578003,0.8098208,binary,is_reason
"the whole point of download is to watch offline, but the app wants you to be connect.",upapproach meeting are not in sync,0,0.63939368724823,0.6393937468528748,0.8492424,binary,is_reason
love this app i can always get on rapid_climb with my friend or family,background voice issue,0,0.6284458041191101,0.6284459829330444,0.8620372,binary,is_reason
will not connect to my outlook contact addresses which is a pain.,want to connect to outlook email,1,0.8311163783073425,0.8311164379119873,0.5811774,binary,is_reason
it is rather annoyance because when you want to attend a meeting it just comes up that the app need updating.,want to hear audio without headteletelephone,0,0.6519484519958496,0.6519484519958496,0.8343281,binary,is_reason
not very much good always asks to switch account and sign in,want to switch account and sign in,1,0.8482996225357056,0.8482998013496399,0.55081815,binary,is_reason
"best entertainment app for video, movie, cartoon","good for watching movies, series and cartoons",1,0.886691689491272,0.886691689491272,0.47604263,binary,is_reason
I am using 150mbps but the cyclosis quality is very bad on android tv.,unable to subscribe on app,0,0.7068698406219482,0.7068699598312378,0.7656761,binary,is_reason
everyone says there is no support for Turkish language translate from setting to Turkish so simple or how did you not understand?,want to share file in chat,0,0.6700842976570129,0.6700843572616577,0.8123,binary,is_reason
