first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
A man is playing a large flute.,A man is playing a flute.,3.800,101.96685791015625,0.9999998807907104,0.0,scale_0_5,score
A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,3.800,94.3434829711914,1.0000001192092896,0.0,scale_0_5,score
Three men are playing chess.,Two men are playing chess.,2.600,90.79232788085938,1.0,0.0,scale_0_5,score
A man is playing the cello.,A man seated is playing the cello.,4.250,98.17086029052734,0.9999998211860657,0.0,scale_0_5,score
Some men are fighting.,Two men are fighting.,4.250,80.32901763916016,1.0,0.0,scale_0_5,score
A man is smoking.,A man is skating.,0.500,92.6593246459961,0.9999998807907104,0.0,scale_0_5,score
The man is playing the piano.,The man is playing the guitar.,1.600,92.39598083496094,1.0,0.0,scale_0_5,score
A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,2.200,102.79875946044922,1.0,0.0,scale_0_5,score
A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,5.000,92.89942169189453,0.9999999403953552,0.0,scale_0_5,score
The man hit the other man with a stick.,The man spanked the other man with a stick.,4.200,90.8553237915039,1.000000238418579,0.0,scale_0_5,score
A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,4.600,96.05497741699219,1.0,0.0,scale_0_5,score
A man is playing a flute.,A man is playing a bamboo flute.,3.867,102.17765808105469,0.9999999403953552,0.0,scale_0_5,score
A person is folding a piece of paper.,Someone is folding a piece of paper.,4.667,107.74325561523438,0.9999998807907104,0.0,scale_0_5,score
A man is running on the road.,A panda dog is running on the road.,1.667,90.61787414550781,1.0,0.0,scale_0_5,score
A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,3.750,94.68307495117188,0.9999999403953552,0.0,scale_0_5,score
The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,5.000,95.58047485351562,0.9999998807907104,0.0,scale_0_5,score
A woman is writing.,A woman is swimming.,0.500,88.35712432861328,1.000000238418579,0.0,scale_0_5,score
A cat is rubbing against baby's face.,A cat is rubbing against a baby.,3.800,104.27660369873047,1.0,0.0,scale_0_5,score
The man is riding a horse.,A man is riding on a horse.,5.000,100.14083862304688,1.0,0.0,scale_0_5,score
A man pours oil into a pot.,A man pours wine in a pot.,3.200,102.09007263183594,0.9999998211860657,0.0,scale_0_5,score
A man is playing a guitar.,A girl is playing a guitar.,2.800,107.5975570678711,1.0000001192092896,0.0,scale_0_5,score
A panda is sliding down a slide.,A panda slides down a slide.,4.600,90.69642639160156,1.0,0.0,scale_0_5,score
A woman is eating something.,A woman is eating meat.,3.000,98.62386322021484,0.9999998807907104,0.0,scale_0_5,score
A woman peels a potato.,A woman is peeling a potato.,5.000,107.55366516113281,1.0,0.0,scale_0_5,score
The boy fell off his bike.,A boy falls off his bike.,4.800,95.12897491455078,0.9999999403953552,0.0,scale_0_5,score
The woman is playing the flute.,A woman is playing a flute.,5.000,102.71388244628906,0.9999998211860657,0.0,scale_0_5,score
A rabbit is running from an eagle.,A hare is running from a eagle.,4.200,93.55952453613281,1.000000238418579,0.0,scale_0_5,score
The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.,4.200,111.35438537597656,0.9999999403953552,0.0,scale_0_5,score
A girl is flying a kite.,A girl running is flying a kite.,4.000,105.86592864990234,0.9999999403953552,0.0,scale_0_5,score
A man is riding a mechanical bull.,A man rode a mechanical bull.,4.000,91.51126098632812,0.9999999403953552,0.0,scale_0_5,score
The man is playing the guitar.,A man is playing a guitar.,4.909,101.61113739013672,1.0000001192092896,0.0,scale_0_5,score
A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,3.000,96.87879943847656,0.9999999403953552,0.0,scale_0_5,score
A man is slicing a bun.,A man is slicing an onion.,2.400,103.5716552734375,1.0,0.0,scale_0_5,score
A man is pouring oil into a pan.,A man is pouring oil into a skillet.,4.200,105.12876892089844,1.0,0.0,scale_0_5,score
A lion is playing with people.,A lion is playing with two men.,3.400,95.0677490234375,0.9999999403953552,0.0,scale_0_5,score
A dog rides a skateboard.,A dog is riding a skateboard.,5.000,95.40697479248047,1.0000001192092896,0.0,scale_0_5,score
Someone is carving a statue.,A man is carving a statue.,3.750,99.63655090332031,1.0,0.0,scale_0_5,score
A woman is slicing an onion.,A man is cutting an onion.,2.750,101.73248291015625,1.0,0.0,scale_0_5,score
A woman peels shrimp.,A woman is peeling shrimp.,5.000,98.08821868896484,0.9999999403953552,0.0,scale_0_5,score
A woman is frying fish.,A woman is cooking fish.,4.000,97.2374267578125,0.9999998807907104,0.0,scale_0_5,score
A woman is playing an electric guitar.,A woman is playing a guitar.,3.600,112.94176483154297,0.9999999403953552,0.0,scale_0_5,score
A baby tiger is playing with a ball.,A baby is playing with a doll.,1.600,99.04441833496094,0.9999998211860657,0.0,scale_0_5,score
