first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
Simpson Strong-Tie 12-Gauge Angle,angle bracket,3.0,82.17173767089844,1.0,0.0,scale_0_5,score
Simpson Strong-Tie 12-Gauge Angle,l bracket,2.5,70.09876251220703,0.9999997615814209,0.0,scale_0_5,score
BEHR Premium Textured DeckOver 1-gal. #SC-141 Tugboat Wood and Concrete Coating,deck over,3.0,76.96272277832031,0.9999998807907104,0.0,scale_0_5,score
Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included),rain shower head,2.33,88.34247589111328,1.0000001192092896,0.0,scale_0_5,score
Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included),shower only faucet,2.67,85.30252838134766,1.0,0.0,scale_0_5,score
Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,convection otr,3.0,82.22985076904297,0.9999998807907104,0.0,scale_0_5,score
Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,microwave over stove,2.67,78.95773315429688,1.0,0.0,scale_0_5,score
Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,microwaves,3.0,80.68329620361328,1.0,0.0,scale_0_5,score
Lithonia Lighting Quantum 2-Light Black LED Emergency Fixture Unit,emergency light,2.67,79.42501831054688,0.9999997615814209,0.0,scale_0_5,score
House of Fara 3/4 in. x 3 in. x 8 ft. MDF Fluted Casing,mdf 3/4,3.0,70.47300720214844,0.9999998211860657,0.0,scale_0_5,score
Valley View Industries Metal Stakes (4-Pack),steele stake,2.67,67.56358337402344,0.9999998211860657,0.0,scale_0_5,score
Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,briggs and stratton lawn mower,3.0,76.42384338378906,0.9999998807907104,0.0,scale_0_5,score
Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,gas mowe,3.0,79.943359375,1.000000238418579,0.0,scale_0_5,score
Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,honda mower,2.0,78.7928466796875,1.0000001192092896,0.0,scale_0_5,score
