first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
A man is playing a large flute.,A man is playing a flute.,3.800,214.0117645263672,0.8021902441978455,10.369962,scale_0_5,score
A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,3.800,263.7319030761719,0.9370993971824646,5.952825,scale_0_5,score
Three men are playing chess.,Two men are playing chess.,2.600,244.3014678955078,0.7635433077812195,12.500966,scale_0_5,score
A man is playing the cello.,A man seated is playing the cello.,4.250,272.785888671875,0.8952614665031433,8.052097,scale_0_5,score
Some men are fighting.,Two men are fighting.,4.250,262.6942138671875,0.8818580508232117,8.423574,scale_0_5,score
A man is smoking.,A man is skating.,0.500,52.44816589355469,0.13357970118522644,26.144772,scale_0_5,score
The man is playing the piano.,The man is playing the guitar.,1.600,46.162174224853516,0.21546830236911774,18.409534,scale_0_5,score
A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,2.200,119.70089721679688,0.5069378018379211,15.63223,scale_0_5,score
A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,5.000,305.958740234375,0.9458730816841125,5.9183,scale_0_5,score
The man hit the other man with a stick.,The man spanked the other man with a stick.,4.200,187.49801635742188,0.7060852646827698,12.507661,scale_0_5,score
A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,4.600,254.21517944335938,0.9799391031265259,3.2446918,scale_0_5,score
A man is playing a flute.,A man is playing a bamboo flute.,3.867,224.01998901367188,0.7836096882820129,11.126949,scale_0_5,score
A person is folding a piece of paper.,Someone is folding a piece of paper.,4.667,255.7717742919922,0.9727655649185181,3.800094,scale_0_5,score
A man is running on the road.,A panda dog is running on the road.,1.667,85.63662719726562,0.3568364679813385,17.570776,scale_0_5,score
A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,3.750,203.2111053466797,0.9271962642669678,5.6597276,scale_0_5,score
The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,5.000,378.7821960449219,0.9768425822257996,4.241561,scale_0_5,score
A woman is writing.,A woman is swimming.,0.500,71.4823226928711,0.20834247767925262,23.355413,scale_0_5,score
A cat is rubbing against baby's face.,A cat is rubbing against a baby.,3.800,291.2874450683594,0.876128613948822,9.079606,scale_0_5,score
