first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.",The carrot had a hole.,1,0.5224803686141968,0.5224803686141968,0.9772611,binary,is_entailment
John couldn't see the stage with Billy in front of him because he is so short.,John is so short.,1,0.5213445425033569,0.5213445425033569,0.9784227,binary,is_entailment
The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.,The police were trying to stop the drug trade in the neighborhood.,1,0.822352409362793,0.8223525285720825,0.5960664,binary,is_entailment
Steve follows Fred's example in everything. He influences him hugely.,Steve influences him hugely.,0,0.7400066256523132,0.7400066256523132,0.7211013,binary,is_entailment
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","mother was careful not to disturb her, undressing and climbing back into her berth.",0,0.7846348285675049,0.7846348285675049,0.6563006,binary,is_entailment
"George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.",George was particularly eager to see it.,0,0.5258520841598511,0.5258520841598511,0.9738049,binary,is_entailment
John was jogging through the park when he saw a man juggling watermelons. He was very impressive.,John was very impressive.,0,0.32106873393058777,0.32106873393058777,1.1652737,binary,is_entailment
I couldn't put the pot on the shelf because it was too tall.,The pot was too tall.,1,0.6870464086532593,0.6870464086532593,0.7911432,binary,is_entailment
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.",There were simply not enough copies of the newsletter.,1,0.5947041511535645,0.5947040915489197,0.9003289,binary,is_entailment
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.,The judges were so advanced.,0,0.5574517846107483,0.5574517846107483,0.9407958,binary,is_entailment
I took the water bottle out of the backpack so that it would be lighter.,I took the water bottle out of the backpack so that the backpack would be lighter.,1,0.9644375443458557,0.9644373655319214,0.2666934,binary,is_entailment
The table won't fit through the doorway because it is too narrow.,The table is too narrow.,0,0.5605180263519287,0.5605180263519287,0.9375308,binary,is_entailment
I took the water bottle out of the backpack so that it would be handy.,I took the water bottle out of the backpack so that the backpack would be handy.,0,0.9593601226806641,0.9593600630760193,0.28509638,binary,is_entailment
The firemen arrived after the police because they were coming from so far away.,The police were coming from so far away.,0,0.5561506748199463,0.5561506748199463,0.9421776,binary,is_entailment
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",Dad could not help him now.,0,0.46453016996383667,0.46453019976615906,1.034862,binary,is_entailment
I poured water from the bottle into the cup until it was empty.,The cup was empty.,0,0.5752360820770264,0.5752362012863159,0.9216984,binary,is_entailment
I put the cake away in the refrigerator. It has a lot of butter in it.,The cake has a lot of butter in it.,1,0.7664684057235718,0.7664684653282166,0.68342024,binary,is_entailment
"Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.",Lionel plans to use it on Geoffrey and send Lionel to steal nuclear material from an army vault.,0,0.7634598016738892,0.7634598612785339,0.68780833,binary,is_entailment
The foxes are getting in at night and attacking the chickens. They have gotten very bold.,The foxes have gotten very bold.,1,0.6840921640396118,0.6840922832489014,0.7948682,binary,is_entailment
"Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.","The piano was broken, so he had to stand instead.",0,0.7336417436599731,0.7336418032646179,0.72987455,binary,is_entailment
Jane knocked on Susan's door but she did not get an answer.,Susan did not get an answer.,0,0.5615689754486084,0.5615689158439636,0.93640924,binary,is_entailment
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.",Adam would have won.,0,0.6226229667663574,0.6226229071617126,0.8687659,binary,is_entailment
I put the butterfly wing on the table and it broke.,The table broke.,0,0.31588852405548096,0.31588852405548096,1.1697106,binary,is_entailment
"Paul tried to call George on the phone, but he wasn't successful.",Paul wasn't successful.,1,0.6486518979072571,0.6486518979072571,0.8382698,binary,is_entailment
Look! There is a shark swimming right below that duck! It had better get away to safety fast!,The shark had better get away to safety fast!,0,0.7453921437263489,0.7453920245170593,0.71359366,binary,is_entailment
The trophy doesn't fit into the brown suitcase because it is too large.,The suitcase is too large.,0,0.6227893829345703,0.6227893829345703,0.86857426,binary,is_entailment
"Joe's uncle can still beat him at tennis, even though he is 30 years older.",Joe is 30 years older.,0,0.6025301814079285,0.602530300617218,0.8915938,binary,is_entailment
The large ball crashed right through the table because it was made of steel.,The large ball was made of steel.,1,0.6872830390930176,0.687282919883728,0.79084396,binary,is_entailment
Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.,The crutches should be better.,0,0.575253963470459,0.575253963470459,0.921679,binary,is_entailment
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",His friend Henry let him stack Grant and his family in his barn where they would dry.,0,0.6695806384086609,0.6695806384086609,0.8129198,binary,is_entailment
"Jane knocked on the door, and Susan answered it. She invited her to come out.",Jane invited her to come out.,1,0.727648913860321,0.727648913860321,0.7380395,binary,is_entailment
Dan had to stop Bill from toying with the injured bird. He is very cruel.,Bill is very cruel.,1,0.5431367754936218,0.543136715888977,0.95589054,binary,is_entailment
"Tom said ""Check"" to Ralph as he took his bishop.","Tom said ""Check"" to Ralph as he took Ralph's bishop.",1,0.9400962591171265,0.9400962591171265,0.34613237,binary,is_entailment
"I sallied out for a bit of food, more to pass the time than because I wanted it.","I sallied out for a bit of food, more to pass the time than because I wanted food.",1,0.9287372827529907,0.9287372827529907,0.37752524,binary,is_entailment
