first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
A man is playing a large flute.,A man is playing a flute.,3.800,17.187435150146484,0.9357750415802002,1.6304111,scale_0_5,score
A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,3.800,14.540630340576172,0.881496787071228,1.9999671,scale_0_5,score
Three men are playing chess.,Two men are playing chess.,2.600,23.14664077758789,1.000000238418579,0.0,scale_0_5,score
A man is playing the cello.,A man seated is playing the cello.,4.250,16.56988525390625,0.923030436038971,1.7606195,scale_0_5,score
Some men are fighting.,Two men are fighting.,4.250,28.072696685791016,1.0,0.0,scale_0_5,score
A man is smoking.,A man is skating.,0.500,11.995874404907227,0.4787069857120514,5.111475,scale_0_5,score
The man is playing the piano.,The man is playing the guitar.,1.600,22.156478881835938,0.9306772351264954,1.8170109,scale_0_5,score
A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,2.200,21.061302185058594,0.9445171356201172,1.5812905,scale_0_5,score
A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,5.000,12.951333999633789,0.9178305864334106,1.5259687,scale_0_5,score
The man hit the other man with a stick.,The man spanked the other man with a stick.,4.200,15.37893295288086,0.8817762732505798,2.1397016,scale_0_5,score
A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,4.600,10.952646255493164,0.94691002368927,1.1130737,scale_0_5,score
A man is playing a flute.,A man is playing a bamboo flute.,3.867,17.738500595092773,0.9123244881629944,1.8724926,scale_0_5,score
A person is folding a piece of paper.,Someone is folding a piece of paper.,4.667,16.64107322692871,0.9340038299560547,1.6252971,scale_0_5,score
A man is running on the road.,A panda dog is running on the road.,1.667,13.785781860351562,0.7493113279342651,3.0618699,scale_0_5,score
A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,3.750,16.442249298095703,0.9398495554924011,1.4524404,scale_0_5,score
The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,5.000,18.917327880859375,1.0000001192092896,0.0,scale_0_5,score
A woman is writing.,A woman is swimming.,0.500,16.225801467895508,0.6317055225372314,4.3706975,scale_0_5,score
A cat is rubbing against baby's face.,A cat is rubbing against a baby.,3.800,14.477790832519531,0.8168433904647827,2.5688486,scale_0_5,score
The man is riding a horse.,A man is riding on a horse.,5.000,24.291248321533203,0.9999998807907104,0.0,scale_0_5,score
A man pours oil into a pot.,A man pours wine in a pot.,3.200,13.495903968811035,0.8211482763290405,2.4251158,scale_0_5,score
A man is playing a guitar.,A girl is playing a guitar.,2.800,22.58155059814453,0.9214344620704651,1.9656765,scale_0_5,score
A panda is sliding down a slide.,A panda slides down a slide.,4.600,17.992557525634766,0.898877739906311,2.020812,scale_0_5,score
A woman is eating something.,A woman is eating meat.,3.000,22.985736846923828,0.8997882008552551,2.264299,scale_0_5,score
A woman peels a potato.,A woman is peeling a potato.,5.000,15.734309196472168,0.8918617367744446,1.9534202,scale_0_5,score
The boy fell off his bike.,A boy falls off his bike.,4.800,15.826034545898438,0.857837438583374,2.2918975,scale_0_5,score
The woman is playing the flute.,A woman is playing a flute.,5.000,20.681264877319336,0.9999998807907104,0.0,scale_0_5,score
A rabbit is running from an eagle.,A hare is running from a eagle.,4.200,14.521425247192383,0.8262691497802734,2.4864194,scale_0_5,score
The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.,4.200,15.964340209960938,0.9455739259719849,1.3558885,scale_0_5,score
A girl is flying a kite.,A girl running is flying a kite.,4.000,16.343242645263672,0.9343422651290894,1.58448,scale_0_5,score
A man is riding a mechanical bull.,A man rode a mechanical bull.,4.000,15.16047477722168,0.9521548748016357,1.2608999,scale_0_5,score
The man is playing the guitar.,A man is playing a guitar.,4.909,23.947216033935547,0.9999999403953552,0.0,scale_0_5,score
A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,3.000,19.424205780029297,0.8718660473823547,2.4105635,scale_0_5,score
A man is slicing a bun.,A man is slicing an onion.,2.400,11.504013061523438,0.7351321578025818,2.8914146,scale_0_5,score
A man is pouring oil into a pan.,A man is pouring oil into a skillet.,4.200,15.855314254760742,0.8529071807861328,2.3386276,scale_0_5,score
A lion is playing with people.,A lion is playing with two men.,3.400,15.341611862182617,0.8696470260620117,2.1455772,scale_0_5,score
A dog rides a skateboard.,A dog is riding a skateboard.,5.000,19.12812042236328,0.9022643566131592,2.037824,scale_0_5,score
Someone is carving a statue.,A man is carving a statue.,3.750,19.954545974731445,0.8967744708061218,2.288325,scale_0_5,score
A woman is slicing an onion.,A man is cutting an onion.,2.750,13.917333602905273,0.8168197870254517,2.4987323,scale_0_5,score
A woman peels shrimp.,A woman is peeling shrimp.,5.000,16.365203857421875,0.8957528471946716,1.9534202,scale_0_5,score
A woman is frying fish.,A woman is cooking fish.,4.000,18.60064125061035,0.8806424736976624,2.2598143,scale_0_5,score
A woman is playing an electric guitar.,A woman is playing a guitar.,3.600,19.79100227355957,0.9217349290847778,1.852856,scale_0_5,score
A baby tiger is playing with a ball.,A baby is playing with a doll.,1.600,15.898633003234863,0.7737816572189331,3.0501428,scale_0_5,score
A person is slicing a tomato.,A person is slicing some meat.,1.750,13.14735221862793,0.806602418422699,2.5274057,scale_0_5,score
A person cuts an onion.,A person is cutting an onion.,5.000,15.281450271606445,0.9311699867248535,1.5045558,scale_0_5,score
A man is playing the piano.,A woman is playing the violin.,1.000,20.27070426940918,0.8930062055587769,2.21291,scale_0_5,score
A woman is playing the flute.,A man is playing the guitar.,1.000,17.93172836303711,0.8057606220245361,2.9605794,scale_0_5,score
A man is cutting up a potato.,A man is cutting up carrots.,2.375,13.127849578857422,0.8156900405883789,2.435723,scale_0_5,score
A kid is playing guitar.,A boy is playing a guitar.,3.800,23.6218204498291,0.9421573877334595,1.7034787,scale_0_5,score
A boy is playing guitar.,A man is playing a guitar.,3.200,23.036500930786133,0.936671257019043,1.7698822,scale_0_5,score
A man is playing guitar.,A boy is playing a guitar.,3.200,23.036500930786133,0.936671257019043,1.7698822,scale_0_5,score
A little boy is playing a keyboard.,A boy is playing key board.,4.400,13.238115310668945,0.7548478245735168,2.966112,scale_0_5,score
A man is playing a guitar.,A man is playing an electric guitar.,3.750,20.85578727722168,0.925886332988739,1.8502142,scale_0_5,score
