first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.",The carrot had a hole.,1,0.7166531682014465,0.7166531682014465,0.7527908,binary,is_entailment
John couldn't see the stage with Billy in front of him because he is so short.,John is so short.,1,0.6365004181861877,0.6365004181861877,0.85264254,binary,is_entailment
The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.,The police were trying to stop the drug trade in the neighborhood.,1,0.6795564889907837,0.6795566082000732,0.8005541,binary,is_entailment
Steve follows Fred's example in everything. He influences him hugely.,Steve influences him hugely.,0,0.7615766525268555,0.761576771736145,0.6905407,binary,is_entailment
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","mother was careful not to disturb her, undressing and climbing back into her berth.",0,0.7699373364448547,0.7699373364448547,0.67832536,binary,is_entailment
"George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.",George was particularly eager to see it.,0,0.5322204828262329,0.5322206020355225,0.967243,binary,is_entailment
John was jogging through the park when he saw a man juggling watermelons. He was very impressive.,John was very impressive.,0,0.5384003520011902,0.5384003520011902,0.96083266,binary,is_entailment
I couldn't put the pot on the shelf because it was too tall.,The pot was too tall.,1,0.5832886695861816,0.5832886695861816,0.9129199,binary,is_entailment
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.",There were simply not enough copies of the newsletter.,1,0.7444421052932739,0.7444422245025635,0.7149236,binary,is_entailment
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.,The judges were so advanced.,0,0.4898965060710907,0.4898965060710907,1.010053,binary,is_entailment
I took the water bottle out of the backpack so that it would be lighter.,I took the water bottle out of the backpack so that the backpack would be lighter.,1,0.9919326901435852,0.99193274974823,0.1270223,binary,is_entailment
The table won't fit through the doorway because it is too narrow.,The table is too narrow.,0,0.5310662984848022,0.531066358089447,0.96843535,binary,is_entailment
I took the water bottle out of the backpack so that it would be handy.,I took the water bottle out of the backpack so that the backpack would be handy.,0,0.9821949005126953,0.9821950197219849,0.18870662,binary,is_entailment
The firemen arrived after the police because they were coming from so far away.,The police were coming from so far away.,0,0.6963656544685364,0.6963657736778259,0.7792744,binary,is_entailment
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",Dad could not help him now.,0,0.5020971298217773,0.5020971298217773,0.9979008,binary,is_entailment
I poured water from the bottle into the cup until it was empty.,The cup was empty.,0,0.539398729801178,0.5393987894058228,0.9597929,binary,is_entailment
I put the cake away in the refrigerator. It has a lot of butter in it.,The cake has a lot of butter in it.,1,0.7326259613037109,0.7326259613037109,0.73126477,binary,is_entailment
"Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.",Lionel plans to use it on Geoffrey and send Lionel to steal nuclear material from an army vault.,0,0.6812804937362671,0.6812805533409119,0.7983977,binary,is_entailment
The foxes are getting in at night and attacking the chickens. They have gotten very bold.,The foxes have gotten very bold.,1,0.7229233384132385,0.7229233384132385,0.74441475,binary,is_entailment
"Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.","The piano was broken, so he had to stand instead.",0,0.7989137768745422,0.7989137768745422,0.6341707,binary,is_entailment
Jane knocked on Susan's door but she did not get an answer.,Susan did not get an answer.,0,0.7379821538925171,0.7379821538925171,0.7239031,binary,is_entailment
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.",Adam would have won.,0,0.5945799350738525,0.5945799946784973,0.9004665,binary,is_entailment
I put the butterfly wing on the table and it broke.,The table broke.,0,0.6059531569480896,0.6059531569480896,0.8877464,binary,is_entailment
"Paul tried to call George on the phone, but he wasn't successful.",Paul wasn't successful.,1,0.6589707136154175,0.6589707136154175,0.82586837,binary,is_entailment
Look! There is a shark swimming right below that duck! It had better get away to safety fast!,The shark had better get away to safety fast!,0,0.6986449360847473,0.6986449360847473,0.7763441,binary,is_entailment
The trophy doesn't fit into the brown suitcase because it is too large.,The suitcase is too large.,0,0.5950813889503479,0.5950813889503479,0.89990944,binary,is_entailment
"Joe's uncle can still beat him at tennis, even though he is 30 years older.",Joe is 30 years older.,0,0.619977593421936,0.619977593421936,0.8718056,binary,is_entailment
The large ball crashed right through the table because it was made of steel.,The large ball was made of steel.,1,0.5830941796302795,0.5830941796302795,0.91313297,binary,is_entailment
Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.,The crutches should be better.,0,0.499985009431839,0.49998509883880615,1.000015,binary,is_entailment
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",His friend Henry let him stack Grant and his family in his barn where they would dry.,0,0.5852887630462646,0.5852887630462646,0.9107264,binary,is_entailment
"Jane knocked on the door, and Susan answered it. She invited her to come out.",Jane invited her to come out.,1,0.7274889945983887,0.7274889945983887,0.73825616,binary,is_entailment
Dan had to stop Bill from toying with the injured bird. He is very cruel.,Bill is very cruel.,1,0.5826767086982727,0.5826768279075623,0.91358995,binary,is_entailment
"Tom said ""Check"" to Ralph as he took his bishop.","Tom said ""Check"" to Ralph as he took Ralph's bishop.",1,0.9871332049369812,0.9871333241462708,0.16041669,binary,is_entailment
"I sallied out for a bit of food, more to pass the time than because I wanted it.","I sallied out for a bit of food, more to pass the time than because I wanted food.",1,0.9870172739028931,0.9870173335075378,0.16113798,binary,is_entailment
Joe paid the detective after he received the final report on the case.,Joe received the final report on the case.,1,0.7395429611206055,0.7395429611206055,0.7217439,binary,is_entailment
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.",There were simply too many copies of the newsletter.,0,0.7612080574035645,0.7612080574035645,0.6910747,binary,is_entailment
Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.,He will be moving into The new house on Thursday.,1,0.6814253926277161,0.6814253926277161,0.7982162,binary,is_entailment
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",He could not help Dad now.,1,0.5011445879936218,0.5011445879936218,0.99885494,binary,is_entailment
"The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.","Beside the table there were crocks, baskets, and a five-quart pail of milk.",1,0.8580182194709778,0.8580182194709778,0.5328823,binary,is_entailment
Jim comforted Kevin because he was so upset.,Kevin was so upset.,1,0.7647093534469604,0.76470947265625,0.6859892,binary,is_entailment
"Jackson was greatly influenced by Arnold, though he lived two centuries earlier.",Arnold lived two centuries earlier.,1,0.749215841293335,0.749215841293335,0.7082149,binary,is_entailment
"There is a pillar between me and the stage, and I can't see around it.",I can't see around the stage.,0,0.7360219955444336,0.7360219955444336,0.72660583,binary,is_entailment
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.",Prehistoric humans hunted for deer on the river banks.,1,0.6090530157089233,0.6090530157089233,0.8842477,binary,is_entailment
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.",Amy's parents are snobs.,1,0.7213140726089478,0.7213141918182373,0.7465735,binary,is_entailment
Bill passed the half-empty plate to John because he was hungry.,John was hungry.,1,0.6716177463531494,0.671617865562439,0.81041,binary,is_entailment
Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.,She writes the book when she gets home from work.,0,0.7175537943840027,0.7175538539886475,0.75159335,binary,is_entailment
"John promised Bill to leave, so an hour later he left.",Bill left.,0,0.6554185748100281,0.6554185748100281,0.8301584,binary,is_entailment
Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.,She reads the article when she gets home from work.,0,0.5832263827323914,0.5832263827323914,0.9129882,binary,is_entailment
Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,The door of the shop closed after Steve.,1,0.5701181888580322,0.5701181888580322,0.9272345,binary,is_entailment
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.","When Fred first saw my father, My father was twelve years old.",0,0.801476001739502,0.8014761209487915,0.63011754,binary,is_entailment
"Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: ""There's plenty.""","Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled Grandma to the table.",0,0.7384760975837708,0.738476037979126,0.72322065,binary,is_entailment
Fred watched TV while George went out to buy groceries. After an hour he got back.,George got back.,1,0.5222941637039185,0.5222942233085632,0.9774516,binary,is_entailment
"Lily spoke to Donna, breaking her concentration.","Lily spoke to Donna, breaking Donna's concentration.",1,0.9620884656906128,0.9620885252952576,0.27535966,binary,is_entailment
"Although they ran at about the same speed, Sue beat Sally because she had such a bad start.",Sue had such a bad start.,0,0.6108419299125671,0.6108419299125671,0.8822224,binary,is_entailment
Madonna fired her trainer because she couldn't stand her boyfriend.,She couldn't stand Madonna's boyfriend.,0,0.7140674591064453,0.7140674591064453,0.7562177,binary,is_entailment
I can't cut that tree down with that axe; it is too small.,The axe is too small.,1,0.7791484594345093,0.7791484594345093,0.6646076,binary,is_entailment
Madonna fired her trainer because she slept with her boyfriend.,She slept with Madonna's boyfriend.,1,0.6657665371894836,0.6657665371894836,0.8175983,binary,is_entailment
"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.","I don't know why the guy in uniform was, but he looked very unhappy.",0,0.5685909986495972,0.5685911178588867,0.92887986,binary,is_entailment
