first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0,86.36729431152344,1.0000001192092896,0.0,binary,is_duplicate
What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0,66.48223876953125,1.0,0.0,binary,is_duplicate
How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0,68.9061050415039,0.9999998807907104,0.0,binary,is_duplicate
Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0,81.65628051757812,1.0,0.0,binary,is_duplicate
"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,0,63.99748992919922,1.0,0.0,binary,is_duplicate
Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",1,79.48636627197266,1.0000001192092896,0.0,binary,is_duplicate
Should I buy tiago?,What keeps childern active and far from phone and video games?,0,60.209251403808594,1.0000001192092896,0.0,binary,is_duplicate
How can I be a good geologist?,What should I do to be a great geologist?,1,81.42406463623047,1.0000001192092896,0.0,binary,is_duplicate
When do you use シ instead of し?,"""When do you use """"&"""" instead of """"and""""?""",0,77.92958068847656,1.000000238418579,0.0,binary,is_duplicate
Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,0,76.47286987304688,1.0,0.0,binary,is_duplicate
Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0,70.90364837646484,1.0000001192092896,0.0,binary,is_duplicate
How do I read and find my YouTube comments?,How can I see all my Youtube comments?,1,79.49030303955078,0.9999998807907104,0.0,binary,is_duplicate
What can make Physics easy to learn?,How can you make physics easy to learn?,1,86.86073303222656,1.0,0.0,binary,is_duplicate
What was your first sexual experience like?,What was your first sexual experience?,1,86.31013488769531,1.0,0.0,binary,is_duplicate
"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,0,84.5835189819336,0.9999999403953552,0.0,binary,is_duplicate
What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,1,66.84056854248047,1.0000001192092896,0.0,binary,is_duplicate
What does manipulation mean?,What does manipulation means?,1,75.3277359008789,1.0,0.0,binary,is_duplicate
Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,0,85.97447204589844,1.0,0.0,binary,is_duplicate
Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,1,77.86418151855469,1.0000001192092896,0.0,binary,is_duplicate
Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,0,81.52770233154297,1.0,0.0,binary,is_duplicate
Why do rockets look white?,Why are rockets and boosters painted white?,1,74.93692779541016,1.0,0.0,binary,is_duplicate
What's causing someone to be jealous?,What can I do to avoid being jealous of someone?,0,78.48748779296875,1.0,0.0,binary,is_duplicate
What are the questions should not ask on Quora?,Which question should I ask on Quora?,0,66.09139251708984,0.9999998211860657,0.0,binary,is_duplicate
How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?,0,70.75677490234375,0.9999999403953552,0.0,binary,is_duplicate
What does it mean that every time I look at the clock the numbers are the same?,How many times a day do a clock’s hands overlap?,0,85.84406280517578,0.9999999403953552,0.0,binary,is_duplicate
What are some tips on making it through the job interview process at Medicines?,What are some tips on making it through the job interview process at Foundation Medicine?,0,79.48396301269531,1.0,0.0,binary,is_duplicate
What is web application?,What is the web application framework?,0,83.11640167236328,0.9999999403953552,0.0,binary,is_duplicate
Does society place too much importance on sports?,How do sports contribute to the society?,0,80.01834106445312,0.9999997615814209,0.0,binary,is_duplicate
What is best way to make money online?,What is best way to ask for money online?,0,83.12765502929688,1.0,0.0,binary,is_duplicate
How should I prepare for CA final law?,How one should know that he/she completely prepare for CA final exam?,1,72.3667221069336,0.9999997019767761,0.0,binary,is_duplicate
What's one thing you would like to do better?,What's one thing you do despite knowing better?,0,73.999755859375,1.0,0.0,binary,is_duplicate
What are some special cares for someone with a nose that gets stuffy during the night?,How can I keep my nose from getting stuffy at night?,1,72.19835662841797,0.9999999403953552,0.0,binary,is_duplicate
