first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.",The carrot had a hole.,1,74.58662414550781,1.000000238418579,0.0,binary,is_entailment
John couldn't see the stage with Billy in front of him because he is so short.,John is so short.,1,72.35904693603516,1.0000001192092896,0.0,binary,is_entailment
The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.,The police were trying to stop the drug trade in the neighborhood.,1,93.61090087890625,0.9999999403953552,0.0,binary,is_entailment
Steve follows Fred's example in everything. He influences him hugely.,Steve influences him hugely.,0,77.59007263183594,1.0000001192092896,0.0,binary,is_entailment
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","mother was careful not to disturb her, undressing and climbing back into her berth.",0,68.95671081542969,1.0000001192092896,0.0,binary,is_entailment
"George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.",George was particularly eager to see it.,0,62.59309387207031,1.0,0.0,binary,is_entailment
John was jogging through the park when he saw a man juggling watermelons. He was very impressive.,John was very impressive.,0,61.1672477722168,1.0,0.0,binary,is_entailment
I couldn't put the pot on the shelf because it was too tall.,The pot was too tall.,1,75.7547378540039,1.0,0.0,binary,is_entailment
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.",There were simply not enough copies of the newsletter.,1,69.17201232910156,1.0000001192092896,0.0,binary,is_entailment
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.,The judges were so advanced.,0,70.09648132324219,0.9999999403953552,0.0,binary,is_entailment
I took the water bottle out of the backpack so that it would be lighter.,I took the water bottle out of the backpack so that the backpack would be lighter.,1,93.00059509277344,1.0000001192092896,0.0,binary,is_entailment
The table won't fit through the doorway because it is too narrow.,The table is too narrow.,0,73.66812896728516,1.0000001192092896,0.0,binary,is_entailment
I took the water bottle out of the backpack so that it would be handy.,I took the water bottle out of the backpack so that the backpack would be handy.,0,87.48477172851562,0.9999999403953552,0.0,binary,is_entailment
The firemen arrived after the police because they were coming from so far away.,The police were coming from so far away.,0,89.44770812988281,0.9999997615814209,0.0,binary,is_entailment
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",Dad could not help him now.,0,67.09075164794922,1.0000001192092896,0.0,binary,is_entailment
I poured water from the bottle into the cup until it was empty.,The cup was empty.,0,73.31178283691406,0.9999998807907104,0.0,binary,is_entailment
I put the cake away in the refrigerator. It has a lot of butter in it.,The cake has a lot of butter in it.,1,83.49398040771484,1.0,0.0,binary,is_entailment
"Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.",Lionel plans to use it on Geoffrey and send Lionel to steal nuclear material from an army vault.,0,72.81192779541016,0.9999999403953552,0.0,binary,is_entailment
The foxes are getting in at night and attacking the chickens. They have gotten very bold.,The foxes have gotten very bold.,1,87.6723861694336,0.9999999403953552,0.0,binary,is_entailment
"Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.","The piano was broken, so he had to stand instead.",0,68.45484161376953,0.9999999403953552,0.0,binary,is_entailment
Jane knocked on Susan's door but she did not get an answer.,Susan did not get an answer.,0,95.5491943359375,0.9999999403953552,0.0,binary,is_entailment
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.",Adam would have won.,0,70.50084686279297,0.9999998807907104,0.0,binary,is_entailment
I put the butterfly wing on the table and it broke.,The table broke.,0,76.802978515625,1.0,0.0,binary,is_entailment
"Paul tried to call George on the phone, but he wasn't successful.",Paul wasn't successful.,1,73.47816467285156,0.9999997615814209,0.0,binary,is_entailment
Look! There is a shark swimming right below that duck! It had better get away to safety fast!,The shark had better get away to safety fast!,0,81.87364959716797,0.9999998211860657,0.0,binary,is_entailment
The trophy doesn't fit into the brown suitcase because it is too large.,The suitcase is too large.,0,70.9931411743164,0.9999998807907104,0.0,binary,is_entailment
"Joe's uncle can still beat him at tennis, even though he is 30 years older.",Joe is 30 years older.,0,73.18942260742188,0.9999999403953552,0.0,binary,is_entailment
The large ball crashed right through the table because it was made of steel.,The large ball was made of steel.,1,74.0240478515625,1.0000001192092896,0.0,binary,is_entailment
Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.,The crutches should be better.,0,78.14183807373047,1.0000001192092896,0.0,binary,is_entailment
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",His friend Henry let him stack Grant and his family in his barn where they would dry.,0,74.17359924316406,0.9999998807907104,0.0,binary,is_entailment
"Jane knocked on the door, and Susan answered it. She invited her to come out.",Jane invited her to come out.,1,78.04586791992188,1.0000001192092896,0.0,binary,is_entailment
Dan had to stop Bill from toying with the injured bird. He is very cruel.,Bill is very cruel.,1,71.55362701416016,1.0000001192092896,0.0,binary,is_entailment
"Tom said ""Check"" to Ralph as he took his bishop.","Tom said ""Check"" to Ralph as he took Ralph's bishop.",1,75.64591217041016,1.000000238418579,0.0,binary,is_entailment
"I sallied out for a bit of food, more to pass the time than because I wanted it.","I sallied out for a bit of food, more to pass the time than because I wanted food.",1,82.19054412841797,1.0000001192092896,0.0,binary,is_entailment
Joe paid the detective after he received the final report on the case.,Joe received the final report on the case.,1,71.3396224975586,0.9999999403953552,0.0,binary,is_entailment
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.",There were simply too many copies of the newsletter.,0,69.72091674804688,1.0000001192092896,0.0,binary,is_entailment
Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.,He will be moving into The new house on Thursday.,1,79.25729370117188,1.0000001192092896,0.0,binary,is_entailment
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",He could not help Dad now.,1,65.98005676269531,0.9999997615814209,0.0,binary,is_entailment
"The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.","Beside the table there were crocks, baskets, and a five-quart pail of milk.",1,82.20173645019531,0.9999997615814209,0.0,binary,is_entailment
