first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
A man is playing a large flute.,A man is playing a flute.,3.800,0.9169113039970398,0.9169113039970398,0.40764856,scale_0_5,score
A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,3.800,0.8660266995429993,0.8660266995429993,0.5176355,scale_0_5,score
Three men are playing chess.,Two men are playing chess.,2.600,0.9117106795310974,0.9117106795310974,0.4202128,scale_0_5,score
A man is playing the cello.,A man seated is playing the cello.,4.250,0.9052062034606934,0.9052062034606934,0.43541667,scale_0_5,score
Some men are fighting.,Two men are fighting.,4.250,0.8113775253295898,0.8113776445388794,0.6142026,scale_0_5,score
A man is smoking.,A man is skating.,0.500,0.45362237095832825,0.45362237095832825,1.0453494,scale_0_5,score
The man is playing the piano.,The man is playing the guitar.,1.600,0.6624181866645813,0.6624181270599365,0.8216835,scale_0_5,score
A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,2.200,0.8012438416481018,0.8012438416481018,0.63048583,scale_0_5,score
A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,5.000,0.9467617869377136,0.9467617869377136,0.32630724,scale_0_5,score
The man hit the other man with a stick.,The man spanked the other man with a stick.,4.200,0.7744150757789612,0.7744148969650269,0.671692,scale_0_5,score
A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,4.600,0.9254165887832642,0.9254165887832642,0.38622147,scale_0_5,score
A man is playing a flute.,A man is playing a bamboo flute.,3.867,0.799699604511261,0.799699604511261,0.63293046,scale_0_5,score
A person is folding a piece of paper.,Someone is folding a piece of paper.,4.667,0.9491147994995117,0.9491147994995117,0.31901494,scale_0_5,score
A man is running on the road.,A panda dog is running on the road.,1.667,0.46057817339897156,0.46057817339897156,1.038674,scale_0_5,score
A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,3.750,0.9160860180854797,0.9160860180854797,0.40966842,scale_0_5,score
The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,5.000,0.9339920878410339,0.9339919686317444,0.36334014,scale_0_5,score
A woman is writing.,A woman is swimming.,0.500,0.5186569690704346,0.5186570286750793,0.9811657,scale_0_5,score
A cat is rubbing against baby's face.,A cat is rubbing against a baby.,3.800,0.8950033783912659,0.8950034976005554,0.45825034,scale_0_5,score
The man is riding a horse.,A man is riding on a horse.,5.000,0.9313063025474548,0.9313063025474548,0.37065813,scale_0_5,score
A man pours oil into a pot.,A man pours wine in a pot.,3.200,0.7153893113136292,0.7153893113136292,0.7544678,scale_0_5,score
